pelanggan_id,trx_30d,hari_sejak_transaksi_terakhir,nilai_rata2,pakai_promo,kanal,jumlah_produk_beda,churn
C00000,3,46,110400.0,0,organik,3,1
C00001,3,23,71700.0,0,organik,3,1
C00002,5,43,57500.0,1,iklan,3,0
C00003,3,46,70800.0,0,iklan,5,0
C00004,5,30,54600.0,1,referral,2,0
C00005,4,56,66500.0,1,iklan,3,0
C00006,2,40,78300.0,1,organik,1,0
C00007,4,24,45600.0,0,iklan,3,0
C00008,2,13,116800.0,0,iklan,3,0
C00009,0,13,64500.0,1,iklan,5,0
C00010,4,12,91000.0,0,iklan,2,1
C00011,3,51,83700.0,0,organik,1,0
C00012,3,28,76100.0,1,organik,4,1
C00013,3,49,101200.0,0,organik,1,1
C00014,0,17,60300.0,0,organik,5,0
C00015,1,35,110200.0,0,referral,5,0
C00016,3,51,85500.0,0,iklan,3,0
C00017,3,52,134900.0,0,organik,3,1
C00018,2,34,110500.0,1,iklan,2,1
C00019,5,44,82500.0,1,organik,2,0
C00020,1,18,54400.0,0,organik,4,0
C00021,2,29,33000.0,0,iklan,4,1
C00022,6,19,82700.0,1,iklan,1,0
C00023,7,45,55600.0,0,iklan,3,0
C00024,5,40,15000.0,0,iklan,3,0
C00025,2,54,102600.0,0,organik,3,0
C00026,3,46,69700.0,1,organik,4,1
C00027,4,11,104000.0,0,organik,1,0
C00028,2,57,65200.0,0,referral,1,1
C00029,4,45,75400.0,0,organik,2,0
C00030,6,56,72000.0,1,iklan,1,1
C00031,2,57,104300.0,0,organik,3,0
C00032,4,57,63100.0,0,referral,4,0
C00033,0,7,77200.0,1,iklan,2,0
C00034,4,25,97000.0,1,organik,1,1
C00035,3,26,91200.0,0,iklan,4,0
C00036,1,31,71200.0,1,iklan,1,1
C00037,2,45,85700.0,0,organik,3,1
C00038,4,45,72300.0,0,iklan,4,0
C00039,4,25,76800.0,0,referral,1,0
C00040,1,28,36200.0,0,iklan,1,0
C00041,1,3,38800.0,1,iklan,2,0
C00042,0,36,42000.0,0,organik,2,0
C00043,0,51,42000.0,1,iklan,1,1
C00044,5,45,87200.0,1,organik,2,1
C00045,4,5,114000.0,1,iklan,2,0
C00046,1,6,66300.0,0,iklan,3,1
C00047,4,45,94500.0,0,iklan,2,0
C00048,4,58,87800.0,1,organik,3,0
C00049,6,44,62100.0,0,referral,5,1
C00050,2,49,77000.0,0,organik,3,1
C00051,2,13,63400.0,0,referral,1,1
C00052,3,40,117000.0,1,organik,5,0
C00053,5,30,60400.0,0,organik,2,0
C00054,5,31,64300.0,0,organik,1,0
C00055,2,46,81300.0,1,iklan,1,1
C00056,2,39,91500.0,0,organik,2,1
C00057,2,45,66100.0,0,referral,4,1
C00058,1,54,56400.0,0,organik,1,1
C00059,4,3,86900.0,1,iklan,1,0
C00060,1,11,99700.0,1,referral,3,0
C00061,3,41,66800.0,1,organik,4,0
C00062,3,24,129000.0,0,iklan,5,1
C00063,7,51,73200.0,0,iklan,3,1
C00064,3,55,68200.0,0,organik,2,1
C00065,4,3,69200.0,1,iklan,1,0
C00066,2,16,41000.0,0,iklan,2,0
C00067,2,6,78600.0,0,organik,3,0
C00068,4,6,63500.0,1,organik,2,0
C00069,6,25,95000.0,1,organik,5,0
C00070,3,56,78300.0,1,iklan,5,0
C00071,1,54,58800.0,0,organik,5,1
C00072,7,59,81400.0,0,organik,2,0
C00073,5,12,84400.0,1,iklan,3,0
C00074,0,35,95600.0,0,organik,4,1
C00075,1,7,76900.0,1,iklan,4,0
C00076,3,3,47000.0,0,iklan,2,0
C00077,3,19,83900.0,0,organik,2,1
C00078,4,15,84400.0,0,iklan,4,0
C00079,2,6,88800.0,1,iklan,1,0
C00080,4,28,73400.0,0,organik,3,1
C00081,2,45,69400.0,0,iklan,1,1
C00082,3,15,110900.0,0,iklan,1,0
C00083,3,18,79800.0,0,referral,4,0
C00084,3,7,121100.0,1,referral,5,0
C00085,2,5,89700.0,0,iklan,2,0
C00086,5,4,81400.0,0,iklan,3,0
C00087,3,30,99600.0,0,organik,3,1
C00088,3,48,105900.0,0,organik,3,1
C00089,3,50,97600.0,0,iklan,1,1
C00090,2,16,55000.0,1,iklan,1,1
C00091,4,46,67100.0,1,referral,4,1
C00092,2,52,59800.0,0,organik,2,1
C00093,7,9,100100.0,0,iklan,5,0
C00094,2,35,64100.0,0,iklan,1,1
C00095,5,26,93200.0,1,organik,1,0
C00096,4,31,94400.0,0,organik,1,0
C00097,2,51,88400.0,1,organik,1,0
C00098,4,52,89100.0,0,organik,3,0
C00099,2,42,47400.0,0,organik,1,1
C00100,3,49,45100.0,0,organik,4,0
C00101,4,53,130000.0,1,organik,4,0
C00102,3,57,70000.0,0,organik,4,1
C00103,6,8,47000.0,0,iklan,2,0
C00104,2,1,91400.0,0,iklan,1,0
C00105,5,11,123200.0,0,iklan,4,0
C00106,2,10,72900.0,1,iklan,3,0
C00107,1,43,62100.0,1,iklan,2,0
C00108,4,20,51700.0,0,organik,3,0
C00109,3,42,79600.0,1,iklan,1,1
C00110,4,19,84400.0,0,organik,1,0
C00111,3,32,34000.0,0,organik,3,0
C00112,2,27,70600.0,1,referral,1,1
C00113,0,38,74300.0,0,iklan,5,0
C00114,4,44,90800.0,0,organik,5,1
C00115,3,3,56100.0,1,iklan,1,0
C00116,4,30,56300.0,0,organik,1,0
C00117,3,4,94300.0,0,organik,3,0
C00118,4,40,84000.0,0,organik,3,0
C00119,7,9,80400.0,0,referral,2,0
C00120,2,10,108900.0,1,iklan,2,1
C00121,2,1,89600.0,0,organik,5,0
C00122,5,47,75000.0,0,organik,4,0
C00123,2,49,80700.0,0,iklan,3,0
C00124,0,58,64900.0,0,organik,4,1
C00125,2,15,109200.0,1,iklan,5,1
C00126,2,59,87500.0,0,iklan,1,0
C00127,3,53,47500.0,0,iklan,1,1
C00128,5,50,78700.0,0,referral,4,0
C00129,6,17,111900.0,0,organik,2,0
C00130,2,31,134000.0,0,iklan,3,0
C00131,2,4,32800.0,0,referral,1,1
C00132,2,27,89200.0,0,iklan,3,0
C00133,2,3,62900.0,0,referral,3,0
C00134,4,12,97400.0,0,organik,1,1
C00135,3,5,84500.0,1,organik,3,0
C00136,3,36,15000.0,0,iklan,2,0
C00137,3,34,80700.0,0,iklan,1,0
C00138,4,7,31400.0,0,organik,2,0
C00139,5,34,15000.0,0,iklan,1,0
C00140,2,44,60400.0,1,organik,3,1
C00141,1,58,97700.0,1,iklan,1,1
C00142,3,7,116200.0,1,organik,4,0
C00143,5,18,143400.0,1,organik,4,0
C00144,2,12,98800.0,0,organik,5,0
C00145,2,48,59300.0,0,iklan,1,1
C00146,3,5,75300.0,0,organik,5,0
C00147,7,28,47600.0,1,organik,3,0
C00148,1,33,86600.0,0,organik,1,1
C00149,4,47,27500.0,0,organik,4,0
C00150,6,18,99200.0,1,referral,2,0
C00151,2,38,85200.0,0,iklan,1,1
C00152,2,27,40800.0,1,referral,1,0
C00153,4,16,89700.0,0,iklan,2,0
C00154,2,9,93700.0,0,organik,2,0
C00155,4,28,42700.0,1,organik,1,0
C00156,4,11,117200.0,0,iklan,4,0
C00157,4,29,63600.0,0,organik,2,0
C00158,2,53,74100.0,0,organik,5,0
C00159,5,22,81700.0,0,iklan,4,0
C00160,6,51,106300.0,0,organik,4,0
C00161,0,50,71900.0,0,organik,5,1
C00162,5,58,80500.0,1,referral,5,1
