pelanggan_id,bulan_daftar,bulan_ke,transaksi,nilai
U00001,2026-04,0,2,148000
U00002,2025-04,0,8,432100
U00002,2025-04,1,6,245000
U00002,2025-04,2,3,139000
U00003,2025-01,1,5,238850
U00003,2025-01,2,7,377500
U00003,2025-01,3,4,150500
U00005,2025-07,0,6,327600
U00008,2025-07,0,5,315000
U00010,2025-07,0,8,385800
U00010,2025-07,1,4,254000
U00010,2025-07,2,7,425000
U00010,2025-07,3,4,178000
U00013,2026-01,0,2,50000
U00015,2026-01,0,6,526800
U00015,2026-01,1,6,483600
U00016,2025-04,0,8,393300
U00018,2025-12,0,5,349750
U00018,2025-12,1,3,208000
U00019,2025-02,0,5,301000
U00019,2025-02,1,9,476350
U00019,2025-02,2,4,284700
U00019,2025-02,3,6,273700
U00019,2025-02,4,2,80000
U00019,2025-02,5,2,129000
U00019,2025-02,6,1,18000
U00019,2025-02,7,8,320800
U00019,2025-02,8,8,395200
U00019,2025-02,9,1,146000
U00019,2025-02,10,8,459800
U00019,2025-02,11,9,625100
U00019,2025-02,12,6,462000
U00019,2025-02,13,5,245750
U00019,2025-02,14,6,472950
U00019,2025-02,15,3,98000
U00019,2025-02,16,3,146000
U00020,2025-06,0,4,272100
U00021,2025-03,0,10,522600
U00023,2026-01,0,4,141000
U00024,2026-05,0,4,463200
U00025,2025-06,0,7,276700
U00026,2025-12,0,7,365500
U00027,2025-11,0,5,362100
U00027,2025-11,1,2,62700
U00028,2026-02,0,3,313000
U00030,2025-10,0,2,132000
U00031,2025-12,0,4,205200
U00032,2026-03,0,9,363000
U00033,2025-12,0,4,171000
U00034,2025-08,0,3,157500
U00034,2025-08,1,2,146000
U00034,2025-08,2,5,353500
U00034,2025-08,3,8,610000
U00034,2025-08,4,10,638800
U00034,2025-08,5,10,438800
U00034,2025-08,6,5,582500
U00034,2025-08,7,5,352000
U00034,2025-08,8,5,691700
U00034,2025-08,9,7,473000
U00037,2025-03,0,8,391750
U00041,2026-04,0,5,282000
U00041,2026-04,1,5,370000
U00043,2025-02,0,10,543600
U00043,2025-02,1,4,192000
U00044,2025-08,0,5,154700
U00046,2025-12,0,7,553000
U00046,2025-12,1,7,334200
U00046,2025-12,2,8,497900
U00047,2026-03,0,2,73000
U00048,2025-01,0,16,846100
U00049,2025-09,0,4,168000
U00049,2025-09,1,2,117050
U00051,2026-06,0,8,320000
U00052,2025-07,0,5,352000
U00053,2025-03,0,8,581100
U00053,2025-03,1,10,552000
U00053,2025-03,2,4,265800
U00053,2025-03,3,10,512800
U00053,2025-03,4,7,532050
U00053,2025-03,5,8,433000
U00053,2025-03,6,5,249500
U00053,2025-03,7,6,360900
U00053,2025-03,8,6,345400
U00055,2025-09,0,3,121800
U00055,2025-09,1,3,223200
U00055,2025-09,2,7,635000
U00055,2025-09,3,6,180500
U00055,2025-09,4,8,343000
U00055,2025-09,5,2,189250
U00055,2025-09,8,3,67000
U00055,2025-09,9,1,35000
U00057,2025-06,0,6,353000
U00057,2025-06,1,4,195100
U00057,2025-06,2,8,570600
U00057,2025-06,3,6,232600
U00057,2025-06,4,4,128750
