tanggal,jumlah_transaksi,omzet,diskon,hari,akhir_pekan,hari_libur
2024-01-01,26,1236800,9200,Senin,False,True
2024-01-02,19,821100,2900,Selasa,False,False
2024-01-03,18,914650,2350,Rabu,False,False
2024-01-04,38,1887250,7750,Kamis,False,False
2024-01-05,38,1904800,10200,Jumat,False,False
2024-01-06,40,1761000,5000,Sabtu,True,False
2024-01-07,33,1830000,0,Minggu,True,False
2024-01-08,15,638200,1800,Senin,False,False
2024-01-09,23,880000,0,Selasa,False,False
2024-01-10,37,1500050,5950,Rabu,False,False
2024-01-11,29,1445550,4450,Kamis,False,False
2024-01-12,44,2179550,13450,Jumat,False,False
2024-01-13,38,1654600,4400,Sabtu,True,False
2024-01-14,32,1317950,4050,Minggu,True,False
2024-01-15,29,1639250,3750,Senin,False,False
2024-01-16,24,1302000,0,Selasa,False,False
2024-01-17,27,1364350,11650,Rabu,False,False
2024-01-18,24,1097050,14950,Kamis,False,False
2024-01-19,28,1708100,5900,Jumat,False,False
2024-01-20,24,1286650,9350,Sabtu,True,False
2024-01-21,25,982000,0,Minggu,True,False
2024-01-22,22,932650,3350,Senin,False,False
2024-01-23,20,1066000,0,Selasa,False,False
2024-01-24,22,798800,8200,Rabu,False,False
2024-01-25,27,1395700,2300,Kamis,False,False
2024-01-26,39,2190650,2350,Jumat,False,False
2024-01-27,43,2139700,10300,Sabtu,True,False
2024-01-28,48,2369000,2000,Minggu,True,False
2024-01-29,34,1553800,4200,Senin,False,False
2024-01-30,17,691400,4600,Selasa,False,False
2024-01-31,20,1075000,0,Rabu,False,False
2024-02-01,44,2006300,7700,Kamis,False,False
2024-02-02,33,1451550,8450,Jumat,False,False
2024-02-03,43,1965450,11550,Sabtu,True,False
2024-02-04,23,1015000,2000,Minggu,True,False
2024-02-05,13,522000,2000,Senin,False,False
2024-02-06,31,1368650,2350,Selasa,False,False
2024-02-07,36,1731000,0,Rabu,False,False
2024-02-08,24,1271400,18600,Kamis,False,True
2024-02-09,19,1031250,4750,Jumat,False,False
2024-02-10,24,1059300,3700,Sabtu,True,False
2024-02-11,44,1864200,1800,Minggu,True,False
2024-02-12,23,1095700,4300,Senin,False,False
2024-02-13,28,1095350,6650,Selasa,False,False
2024-02-14,22,1222150,5850,Rabu,False,False
2024-02-15,36,2183600,16400,Kamis,False,False
