pelanggan_id,tanggal_daftar,kota,kanal_akuisisi,tahun_lahir,jenis_kelamin,member_premium,tipe_pelanggan
U00001,2026-04-06,Jakarta,iklan_google,1992,P,False,biasa
U00002,2025-04-07,Jakarta,gojek_grab,1992,L,False,biasa
U00003,2025-01-15,Surabaya,referral,1996,L,False,setia
U00004,2025-12-12,Jakarta,iklan_meta,1982,L,False,biasa
U00005,2025-07-17,Surabaya,gojek_grab,1986,L,False,biasa
U00006,2025-09-10,Jakarta,iklan_meta,1988,L,False,biasa
U00007,2025-02-13,Denpasar,iklan_meta,1985,P,True,biasa
U00008,2025-07-20,Jakarta,iklan_meta,1996,L,False,biasa
U00009,2025-12-14,Bandung,iklan_meta,1979,P,False,biasa
U00010,2025-07-11,Surabaya,iklan_meta,1979,L,False,setia
U00011,2026-03-25,Jakarta,referral,1992,P,False,biasa
U00012,2026-03-03,Jakarta,iklan_google,1982,L,False,biasa
U00013,2026-01-16,Bandung,gojek_grab,2004,L,True,biasa
U00014,2026-05-04,Yogyakarta,iklan_google,1982,P,False,biasa
U00015,2026-01-25,Bandung,gojek_grab,1985,P,False,biasa
U00016,2025-04-06,Jakarta,iklan_meta,1993,P,True,biasa
U00017,2026-04-09,Surabaya,iklan_google,1977,P,False,biasa
U00018,2025-12-19,Jakarta,gojek_grab,1983,L,False,biasa
U00019,2025-02-23,Surabaya,gojek_grab,1979,L,False,setia
U00020,2025-06-11,Jakarta,organik,1985,L,True,setia
U00021,2025-03-31,Bandung,iklan_meta,1987,P,True,biasa
U00022,2026-06-07,Jakarta,referral,1999,L,False,biasa
U00023,2026-01-29,Jakarta,iklan_meta,1988,L,False,biasa
U00024,2026-05-12,Bandung,organik,1981,L,False,biasa
U00025,2025-06-02,Bandung,gojek_grab,1995,L,False,biasa
U00026,2025-12-10,Yogyakarta,iklan_meta,1999,P,False,biasa
U00027,2025-11-23,Surabaya,organik,1975,P,False,biasa
U00028,2026-02-11,Bandung,iklan_google,2002,P,False,biasa
U00029,2025-03-05,Jakarta,referral,1995,L,False,setia
U00030,2025-10-06,Jakarta,iklan_meta,2001,P,False,biasa
U00031,2025-12-15,Jakarta,referral,1989,P,False,biasa
U00032,2026-03-22,Yogyakarta,organik,1983,L,False,biasa
U00033,2025-12-21,Jakarta,referral,1976,P,True,biasa
U00034,2025-08-31,Bandung,iklan_meta,1981,P,False,setia
U00035,2025-09-06,Bandung,iklan_meta,1989,P,False,biasa
U00036,2025-07-02,Jakarta,organik,1978,P,False,biasa
U00037,2025-03-26,Bandung,iklan_meta,1975,P,False,biasa
U00038,2025-05-31,Yogyakarta,organik,1990,P,False,biasa
U00039,2025-03-20,Surabaya,iklan_meta,1981,L,True,biasa
U00040,2025-05-03,Surabaya,iklan_google,1990,L,False,biasa
U00041,2026-04-07,Denpasar,referral,1995,P,True,biasa
U00042,2025-10-11,Bandung,iklan_meta,1976,P,False,biasa
U00043,2025-02-19,Jakarta,iklan_google,1978,L,False,biasa
U00044,2025-08-21,Jakarta,iklan_meta,1991,P,True,biasa
U00045,2025-05-27,Jakarta,referral,1983,P,False,biasa
U00046,2025-12-25,Bandung,iklan_google,1998,P,False,biasa
U00047,2026-03-25,Yogyakarta,iklan_meta,1979,P,False,biasa
U00048,2025-01-07,Jakarta,iklan_google,1998,P,False,biasa
U00049,2025-09-09,Jakarta,organik,1999,P,False,setia
U00050,2025-08-30,Jakarta,gojek_grab,1989,P,False,biasa
U00051,2026-06-19,Jakarta,gojek_grab,1984,L,False,biasa
U00052,2025-07-17,Jakarta,organik,1981,P,False,biasa
U00053,2025-03-31,Bandung,referral,2000,L,False,setia
U00054,2025-04-16,Surabaya,organik,1995,L,False,biasa
U00055,2025-09-15,Jakarta,iklan_google,2005,P,False,setia
U00056,2025-11-18,Surabaya,gojek_grab,1980,P,True,setia
U00057,2025-06-26,Bandung,iklan_google,2001,L,False,biasa
U00058,2025-08-24,Jakarta,iklan_meta,1993,P,False,setia
U00059,2025-12-25,Yogyakarta,iklan_meta,1990,L,True,setia
U00060,2025-06-11,Jakarta,gojek_grab,1995,P,False,setia
U00061,2026-06-05,Surabaya,iklan_meta,1976,P,False,biasa
U00062,2025-04-24,Surabaya,iklan_meta,1985,L,False,biasa
U00063,2026-05-21,Jakarta,iklan_meta,1977,P,False,setia
U00064,2026-04-18,Surabaya,referral,1997,P,False,setia
U00065,2026-06-01,Jakarta,organik,1996,L,False,biasa
U00066,2026-03-07,Jakarta,organik,1988,P,True,biasa
U00067,2025-10-13,Yogyakarta,iklan_google,2001,P,False,setia
U00068,2025-11-24,Jakarta,organik,2005,P,False,biasa
U00069,2025-04-22,Surabaya,iklan_meta,1981,L,False,biasa
U00070,2025-07-06,Yogyakarta,iklan_google,2006,L,False,biasa
U00071,2025-09-08,Bandung,organik,1978,L,False,biasa
U00072,2026-05-27,Jakarta,organik,1979,P,False,setia
U00073,2026-03-06,Yogyakarta,iklan_google,1979,P,False,biasa
U00074,2025-11-01,Surabaya,iklan_meta,1994,P,False,setia
U00075,2025-11-18,Bandung,iklan_meta,1997,P,False,setia
U00076,2025-08-22,Jakarta,gojek_grab,1996,P,True,biasa
U00077,2025-08-15,Surabaya,iklan_google,1985,L,False,biasa
U00078,2026-05-02,Surabaya,organik,1989,L,False,biasa
U00079,2025-01-03,Jakarta,organik,2001,P,False,biasa
U00080,2025-06-22,Jakarta,iklan_google,2005,P,False,biasa
U00081,2025-08-09,Yogyakarta,iklan_google,2005,P,False,biasa
U00082,2026-01-11,Yogyakarta,organik,1978,L,False,biasa
U00083,2025-08-11,Bandung,organik,1980,L,False,setia
U00084,2025-06-19,Jakarta,organik,1999,P,False,biasa
U00085,2025-02-12,Surabaya,gojek_grab,1988,L,False,biasa
U00086,2025-05-22,Bandung,referral,1994,L,False,biasa
U00087,2025-02-27,Bandung,gojek_grab,2001,P,False,biasa
U00088,2026-01-14,Jakarta,iklan_google,2001,P,False,biasa
U00089,2025-08-20,Jakarta,referral,1980,P,False,setia
U00090,2025-05-04,Jakarta,gojek_grab,1997,P,True,biasa
U00091,2025-10-19,Jakarta,referral,1983,L,True,setia
U00092,2025-09-24,Surabaya,organik,1999,P,False,setia
U00093,2025-09-13,Denpasar,organik,1978,L,False,biasa
U00094,2025-11-10,Jakarta,referral,1982,L,True,setia
U00095,2025-12-05,Surabaya,gojek_grab,1999,L,False,biasa
U00096,2025-04-13,Jakarta,iklan_meta,1988,P,False,biasa
U00097,2025-03-25,Jakarta,iklan_google,1983,P,False,biasa
U00098,2026-01-30,Jakarta,organik,1996,L,False,biasa
U00099,2026-06-10,Bandung,iklan_google,2000,L,False,biasa
U00100,2025-10-24,Yogyakarta,organik,1983,P,False,setia
U00101,2025-09-01,Jakarta,organik,1977,L,False,biasa
U00102,2025-12-02,Yogyakarta,referral,1980,P,False,biasa
U00103,2025-01-19,Surabaya,iklan_google,1976,L,True,biasa
U00104,2025-07-20,Surabaya,referral,1985,L,False,biasa
U00105,2025-07-13,Bandung,iklan_meta,1993,P,False,biasa
U00106,2025-08-15,Jakarta,gojek_grab,1989,P,False,biasa
U00107,2026-02-06,Yogyakarta,organik,1989,L,False,setia
U00108,2025-09-25,Bandung,organik,1983,L,False,setia
U00109,2026-04-08,Denpasar,organik,1981,P,False,setia
U00110,2025-09-11,Surabaya,organik,1988,P,False,biasa
U00111,2025-01-19,Jakarta,iklan_google,1980,P,False,biasa
U00112,2025-12-31,Surabaya,gojek_grab,2003,L,False,biasa
U00113,2026-03-07,Jakarta,iklan_meta,1981,L,False,biasa
U00114,2025-11-08,Bandung,organik,2003,P,False,biasa
U00115,2026-05-22,Bandung,organik,1984,P,False,biasa
U00116,2025-08-13,Jakarta,referral,1981,P,False,biasa
U00117,2026-03-07,Yogyakarta,organik,2004,P,True,biasa
U00118,2025-01-01,Jakarta,referral,2006,L,False,biasa
U00119,2025-01-22,Surabaya,organik,1996,L,False,setia
U00120,2026-03-05,Bandung,referral,1982,P,False,biasa
U00121,2026-04-17,Surabaya,iklan_google,1988,P,False,biasa
U00122,2025-10-08,Bandung,iklan_meta,1992,L,False,biasa
U00123,2026-02-11,Jakarta,organik,1975,P,False,biasa
U00124,2025-06-26,Bandung,iklan_google,2001,L,True,biasa
U00125,2026-01-28,Bandung,iklan_google,2006,P,False,biasa
U00126,2025-09-27,Jakarta,organik,1997,P,False,biasa
U00127,2025-06-13,Jakarta,iklan_meta,1984,L,False,biasa
U00128,2025-02-20,Jakarta,referral,1991,L,True,setia
U00129,2025-04-05,Jakarta,organik,2002,L,False,biasa
U00130,2026-05-04,Jakarta,referral,2005,L,False,biasa
U00131,2025-08-28,Yogyakarta,iklan_meta,1988,L,True,biasa
U00132,2026-06-19,Bandung,iklan_google,2005,L,True,biasa
U00133,2025-07-10,Jakarta,gojek_grab,1996,L,False,biasa
U00134,2025-02-01,Bandung,organik,1977,L,True,setia
U00135,2025-05-19,Denpasar,gojek_grab,2004,P,False,biasa
U00136,2025-07-13,Bandung,gojek_grab,1985,P,False,biasa
U00137,2026-01-14,Jakarta,iklan_meta,1991,L,True,biasa
U00138,2026-01-30,Jakarta,organik,1978,L,False,biasa
U00139,2026-02-02,Surabaya,referral,1984,P,False,biasa
