transaksi_id,tanggal,jam,cabang_id,pelanggan_id,saluran,metode_bayar,subtotal,diskon,total
T0000001,2024-01-01,11,C01,,Delivery,QRIS,49000,0,49000
T0000002,2024-01-01,8,C01,,Takeaway,Tunai,44000,0,44000
T0000003,2024-01-01,8,C01,,Dine-in,QRIS,44000,0,44000
T0000004,2024-01-01,12,C01,,Dine-in,QRIS,46000,0,46000
T0000005,2024-01-01,13,C01,,Dine-in,QRIS,22000,0,22000
T0000006,2024-01-01,16,C01,,Dine-in,Kartu Debit,74000,3700,70300
T0000007,2024-01-01,12,C01,,Takeaway,Tunai,39000,0,39000
T0000008,2024-01-01,13,C01,,Dine-in,QRIS,36000,0,36000
T0000009,2024-01-01,17,C01,,Dine-in,QRIS,74000,0,74000
T0000010,2024-01-01,10,C01,,Delivery,QRIS,25000,1250,23750
T0000011,2024-01-01,12,C01,,Dine-in,QRIS,47000,0,47000
T0000012,2024-01-01,17,C01,,Takeaway,QRIS,22000,0,22000
T0000013,2024-01-01,16,C01,,Delivery,E-Wallet,25000,0,25000
T0000014,2024-01-01,10,C01,,Takeaway,QRIS,65000,0,65000
T0000015,2024-01-01,19,C01,,Dine-in,QRIS,85000,4250,80750
T0000016,2024-01-01,12,C01,,Dine-in,Tunai,14000,0,14000
T0000017,2024-01-01,16,C01,,Takeaway,Tunai,25000,0,25000
T0000018,2024-01-01,14,C01,,Dine-in,QRIS,63000,0,63000
T0000019,2024-01-01,7,C01,,Dine-in,QRIS,80000,0,80000
T0000020,2024-01-01,12,C01,,Takeaway,QRIS,71000,0,71000
T0000021,2024-01-01,11,C01,,Takeaway,Kartu Debit,75000,0,75000
T0000022,2024-01-01,16,C01,,Dine-in,QRIS,24000,0,24000
T0000023,2024-01-01,11,C01,,Dine-in,QRIS,42000,0,42000
T0000024,2024-01-01,15,C01,,Dine-in,QRIS,15000,0,15000
T0000025,2024-01-01,11,C01,,Dine-in,Tunai,90000,0,90000
T0000026,2024-01-01,7,C01,,Dine-in,Tunai,50000,0,50000
T0000027,2024-01-02,9,C01,,Takeaway,Tunai,22000,0,22000
T0000028,2024-01-02,12,C01,,Takeaway,Kartu Debit,25000,0,25000
T0000029,2024-01-02,11,C01,,Dine-in,QRIS,44000,2200,41800
T0000030,2024-01-02,10,C01,,Dine-in,Tunai,30000,0,30000
T0000031,2024-01-02,12,C01,,Dine-in,Tunai,59000,0,59000
T0000032,2024-01-02,11,C01,,Dine-in,Kartu Debit,79000,0,79000
T0000033,2024-01-02,19,C01,,Dine-in,Kartu Debit,76000,0,76000
T0000034,2024-01-02,18,C01,,Takeaway,QRIS,42000,0,42000
T0000035,2024-01-02,12,C01,,Dine-in,E-Wallet,48000,0,48000
T0000036,2024-01-02,15,C01,,Takeaway,Kartu Debit,18000,0,18000
T0000037,2024-01-02,9,C01,,Takeaway,Tunai,14000,700,13300
T0000038,2024-01-02,14,C01,,Dine-in,QRIS,25000,0,25000
T0000039,2024-01-02,16,C01,,Takeaway,Tunai,42000,0,42000
T0000040,2024-01-02,14,C01,,Takeaway,Tunai,50000,0,50000
T0000041,2024-01-02,11,C01,,Dine-in,QRIS,40000,0,40000
T0000042,2024-01-02,15,C01,,Dine-in,QRIS,15000,0,15000
T0000043,2024-01-02,18,C01,,Takeaway,QRIS,87000,0,87000
T0000044,2024-01-02,17,C01,,Takeaway,QRIS,33000,0,33000
T0000045,2024-01-02,9,C01,,Dine-in,QRIS,75000,0,75000
T0000046,2024-01-03,16,C01,,Takeaway,Kartu Debit,73000,0,73000
T0000047,2024-01-03,12,C01,,Dine-in,E-Wallet,83000,0,83000
T0000048,2024-01-03,12,C01,,Dine-in,Tunai,25000,0,25000
T0000049,2024-01-03,12,C01,,Delivery,Tunai,90000,0,90000
T0000050,2024-01-03,12,C01,,Dine-in,QRIS,38000,0,38000
T0000051,2024-01-03,18,C01,,Dine-in,Kartu Debit,47000,2350,44650
T0000052,2024-01-03,8,C01,,Takeaway,QRIS,18000,0,18000
T0000053,2024-01-03,13,C01,,Dine-in,QRIS,75000,0,75000
T0000054,2024-01-03,18,C01,,Dine-in,Tunai,33000,0,33000
T0000055,2024-01-03,14,C01,,Dine-in,E-Wallet,37000,0,37000
T0000056,2024-01-03,8,C01,,Dine-in,Kartu Debit,43000,0,43000
T0000057,2024-01-03,17,C01,,Takeaway,QRIS,65000,0,65000
T0000058,2024-01-03,11,C01,,Takeaway,QRIS,75000,0,75000
T0000059,2024-01-03,16,C01,,Dine-in,QRIS,50000,0,50000
T0000060,2024-01-03,12,C01,,Takeaway,Kartu Debit,20000,0,20000
