transaksi_id,produk_id,jumlah,harga_satuan,nilai
T0000001,P04,1,25000,25000
T0000001,P07,1,24000,24000
T0000002,P01,2,22000,44000
T0000003,P01,2,22000,44000
T0000004,P07,1,24000,24000
T0000004,P01,1,22000,22000
T0000005,P01,1,22000,22000
T0000006,P07,1,24000,24000
T0000006,P03,2,25000,50000
T0000007,P07,1,24000,24000
T0000007,P05,1,15000,15000
T0000008,P12,1,14000,14000
T0000008,P01,1,22000,22000
T0000009,P03,1,25000,25000
T0000009,P07,1,24000,24000
T0000009,P04,1,25000,25000
T0000010,P04,1,25000,25000
T0000011,P01,1,22000,22000
T0000011,P04,1,25000,25000
T0000012,P01,1,22000,22000
T0000013,P04,1,25000,25000
T0000014,P05,1,15000,15000
T0000014,P03,2,25000,50000
T0000015,P07,1,24000,24000
T0000015,P01,1,22000,22000
T0000015,P12,1,14000,14000
T0000015,P03,1,25000,25000
T0000016,P12,1,14000,14000
T0000017,P04,1,25000,25000
T0000018,P04,1,25000,25000
T0000018,P02,1,18000,18000
T0000018,P10,1,20000,20000
T0000019,P02,2,18000,36000
T0000019,P01,2,22000,44000
T0000020,P04,1,25000,25000
T0000020,P02,1,18000,18000
T0000020,P12,2,14000,28000
T0000021,P04,1,25000,25000
T0000021,P03,2,25000,50000
T0000022,P07,1,24000,24000
T0000023,P07,1,24000,24000
T0000023,P02,1,18000,18000
T0000024,P05,1,15000,15000
T0000025,P05,1,15000,15000
T0000025,P04,1,25000,25000
T0000025,P03,2,25000,50000
T0000026,P04,2,25000,50000
T0000027,P01,1,22000,22000
T0000028,P04,1,25000,25000
T0000029,P01,2,22000,44000
T0000030,P09,2,15000,30000
T0000031,P01,2,22000,44000
T0000031,P05,1,15000,15000
T0000032,P05,2,15000,30000
T0000032,P04,1,25000,25000
T0000032,P07,1,24000,24000
T0000033,P05,2,15000,30000
T0000033,P01,1,22000,22000
T0000033,P07,1,24000,24000
T0000034,P12,3,14000,42000
T0000035,P09,1,15000,15000
T0000035,P05,1,15000,15000
T0000035,P02,1,18000,18000
T0000036,P02,1,18000,18000
T0000037,P12,1,14000,14000
T0000038,P03,1,25000,25000
T0000039,P01,1,22000,22000
T0000039,P10,1,20000,20000
T0000040,P04,2,25000,50000
T0000041,P01,1,22000,22000
T0000041,P02,1,18000,18000
T0000042,P05,1,15000,15000
T0000043,P01,1,22000,22000
T0000043,P05,1,15000,15000
T0000043,P04,2,25000,50000
T0000044,P09,1,15000,15000
T0000044,P02,1,18000,18000
T0000045,P04,3,25000,75000
T0000046,P03,1,25000,25000
T0000046,P09,1,15000,15000
T0000046,P02,1,18000,18000
T0000046,P05,1,15000,15000
T0000047,P05,1,15000,15000
T0000047,P07,1,24000,24000
T0000047,P01,2,22000,44000
T0000048,P04,1,25000,25000
T0000049,P01,1,22000,22000
T0000049,P03,1,25000,25000
T0000049,P02,1,18000,18000
T0000049,P04,1,25000,25000
T0000050,P07,1,24000,24000
T0000050,P12,1,14000,14000
T0000051,P03,1,25000,25000
T0000051,P01,1,22000,22000
T0000052,P02,1,18000,18000
T0000053,P04,1,25000,25000
T0000053,P09,2,15000,30000
T0000053,P10,1,20000,20000
T0000054,P05,1,15000,15000
T0000054,P02,1,18000,18000
T0000055,P01,1,22000,22000
T0000055,P05,1,15000,15000
T0000056,P02,1,18000,18000
T0000056,P04,1,25000,25000
T0000057,P04,1,25000,25000
T0000057,P09,1,15000,15000
T0000057,P03,1,25000,25000
T0000058,P04,1,25000,25000
T0000058,P03,2,25000,50000
T0000059,P04,2,25000,50000
T0000060,P10,1,20000,20000
T0000061,P04,1,25000,25000
T0000062,P03,1,25000,25000
T0000062,P05,2,15000,30000
T0000063,P05,1,15000,15000
T0000063,P03,1,25000,25000
T0000063,P04,1,25000,25000
T0000064,P01,1,22000,22000
T0000065,P10,1,20000,20000
T0000065,P07,1,24000,24000
T0000065,P05,1,15000,15000
T0000066,P10,1,20000,20000
T0000066,P01,2,22000,44000
T0000067,P01,1,22000,22000
T0000068,P02,3,18000,54000
T0000068,P05,1,15000,15000
T0000069,P03,1,25000,25000
T0000070,P05,2,15000,30000
T0000070,P07,1,24000,24000
T0000070,P12,1,14000,14000
T0000071,P02,1,18000,18000
T0000071,P12,1,14000,14000
T0000072,P03,3,25000,75000
T0000072,P02,2,18000,36000
T0000072,P07,1,24000,24000
T0000073,P01,1,22000,22000
T0000074,P02,1,18000,18000
T0000075,P03,1,25000,25000
T0000076,P09,1,15000,15000
T0000076,P01,1,22000,22000
T0000077,P03,1,25000,25000
T0000077,P05,1,15000,15000
T0000077,P02,2,18000,36000
T0000077,P07,1,24000,24000
T0000078,P07,1,24000,24000
T0000078,P05,1,15000,15000
T0000079,P04,1,25000,25000
T0000079,P01,2,22000,44000
T0000080,P09,2,15000,30000
T0000080,P05,1,15000,15000
T0000081,P02,1,18000,18000
T0000082,P12,1,14000,14000
T0000082,P03,1,25000,25000
T0000083,P04,2,25000,50000
T0000084,P04,1,25000,25000
T0000085,P07,1,24000,24000
T0000085,P02,1,18000,18000
T0000086,P04,1,25000,25000
T0000086,P03,2,25000,50000
T0000086,P07,1,24000,24000
T0000086,P12,2,14000,28000
T0000087,P02,2,18000,36000
T0000087,P07,1,24000,24000
T0000088,P03,1,25000,25000
T0000088,P05,1,15000,15000
T0000089,P02,1,18000,18000
T0000090,P09,1,15000,15000
T0000090,P02,2,18000,36000
T0000091,P01,1,22000,22000
T0000092,P04,1,25000,25000
T0000092,P02,1,18000,18000
T0000092,P07,1,24000,24000
T0000093,P05,2,15000,30000
T0000093,P04,2,25000,50000
T0000093,P07,2,24000,48000
T0000093,P09,1,15000,15000
T0000094,P10,1,20000,20000
T0000094,P02,3,18000,54000
T0000095,P03,2,25000,50000
T0000095,P10,1,20000,20000
T0000095,P02,1,18000,18000
T0000096,P09,1,15000,15000
T0000097,P05,2,15000,30000
T0000098,P03,1,25000,25000
T0000099,P04,1,25000,25000
T0000099,P05,1,15000,15000
