transaksi_id,tanggal,cabang_id,kota,saluran,metode_bayar,total
T0118394,2026-03-12,C04,,Takeaway,QRIS,25000
T0113986,2026-02-25,C02,Jakarta,Dine-in,Kartu Debit,93000
T0110727,2026-02-14,C01,Jakarta,Takeaway,Kartu Debit,195000
T0118627,2026-03-13,C02,Jakarta,Dine-in,Tunai,15000
T0113465,2026-02-23,C01,JAKARTA,Dine-in,QRIS,53000
T0101669,2026-01-12,C02,Jakarta,Dine-in,QRIS,18000
T0119790,17/03/2026,C03,bandung,Dine-in,QRIS,84000
T0118761,2026-03-13,C05,Yogyakarta,Delivery,Tunai,15000
T0119251,2026-03-15,C02,Jakarta,Takeaway,-,102000
T0108438,2026-02-06,C02,Jakarta,Takeaway,Kartu Debit,16200
T0116517,2026-03-06,C02,Jakarta,Dine-in,QRIS,169000
T0114583,2026-02-27,C02,Jakarta,Dine-in,Kartu Debit,Rp 47.000
T0122498,2026-03-26,C01,Jakarta,Dine-in,QRIS,36000
T0103604,2026-01-19,C05,Yogyakarta,Takeaway,QRIS,18000
T0105188,2026-01-25,C02,JAKARTA,Dine-in,QRIS,43000
T0116773,2026-03-06,C06,Denpasar,Dine-in,QRIS,50000
T0121352,2026-03-22,C02,Jakarta,Takeaway,Kartu Debit,172000
T0108150,2026-02-05,C02,Jakarta,Delivery,QRIS,69000
T0117283,2026-03-08,C03,Bandung,Dine-in,QRIS,163000
T0107689,2026-02-03,C03,bandung,Delivery,Kartu Debit,49000
T0110774,2026-02-14,C02,Jakarta,Dine-in,QRIS,50000
T0107502,2026-02-02,C05,Yogyakarta,Delivery,Kartu Debit,33000
T0099259,2026-01-02,C04,Surabaya,Dine-in,QRIS,95000
T0103929,2026-01-21,C01,Jakarta,Delivery,E-Wallet,115000
T0122973,27/03/2026,C06,Denpasar,Dine-in,QRIS,20000
T0115520,2026-03-02,C01,Jakarta,Dine-in,QRIS,108000
T0112893,2026-02-21,C03,BANDUNG,Dine-in,Tunai,87000
T0119019,14/03/2026,C04, Surabaya  ,Delivery,QRIS,25000
T0111838,2026-02-17,C05,,Delivery,E-Wallet,24000
T0111646,2026-02-17,C02, jakarta  ,Delivery,E-Wallet,115000
T0102513,16-Jan-2026,C01,Jakarta,Delivery,-,39000
T0108100,2026-02-05,C01,Jakarta,Delivery,Kartu Debit,99000
T0110323,2026-02-12,C05,Yogyakarta,Delivery,QRIS,15000
T0103039,2026-01-17,C04,SURABAYA,Delivery,QRIS,Rp 102.000
T0107566,2026-02-02,C06,Denpasar,Takeaway,E-Wallet,28000
T0102564,2026-01-16,C02,Jakarta,Delivery,Kartu Debit,14000
T0121942,2026-03-24,C01,Jakarta,Dine-in,Tunai,120000
T0114041,2026-02-25,C03,Bandung,Delivery,QRIS,52000
T0110106,2026-02-12,C01,Jakarta,DINE-IN,QRIS,
T0104747,2026-01-24,C01,Jakarta,Takeaway,Kartu Debit,22000
T0120553,20-Mar-2026,C01, Jakarta  ,Dine-in,Tunai,25000
T0104857,2026-01-24,C03,Bandung,Takeaway,E-Wallet,134000
T0100457,2026-01-07,C03,Bandung,Takeaway,QRIS,18000
T0120713,20-Mar-2026,C04,Surabaya,Takeaway,E-Wallet,181450
T0116697,06/03/2026,C04,Surabaya,Takeaway,E-Wallet,148200
T0105303,2026-01-25,C04,Surabaya,Dine-in,QRIS,74000
T0106938,2026-01-31,C05,Yogyakarta,Dine-in,QRIS,28000
T0107353,2026-02-02,C01, Jakarta  ,Takeaway,E-Wallet,65000
T0108056,2026-02-04,C06,Denpasar,Delivery,Tunai,30000
T0117369,2026-03-08,C04,Surabaya,Delivery,QRIS,Rp 50.000
,,,,,,
T0114957,2026-02-28,C02,JKT,Delivery,E-Wallet,30000
T0100240,2026-01-06,C03,Bandung,Takeaway,QRIS,33000
T0110242,2026-02-12,C03,Bandung,Dine-in,QRIS,20000
