periode,lapangan_id,kategori_biaya,jenis,nilai_usd
2023-01,F01,Well Services,OPEX,85728.66
2023-01,F01,Facility O&M,OPEX,138241.45
2023-01,F01,Chemicals,OPEX,56479.38
2023-01,F01,Power & Fuel,OPEX,174034.02
2023-01,F01,Transportation,OPEX,95327.95
2023-01,F01,Manpower,OPEX,219757.56
2023-01,F01,HSE & Environment,OPEX,51677.16
2023-01,F01,G&A Allocation,OPEX,104034.81
2023-01,F01,Workover,OPEX,45450.59
2023-01,F02,Well Services,OPEX,120769.34
2023-01,F02,Facility O&M,OPEX,109744.77
2023-01,F02,Chemicals,OPEX,67580.9
2023-01,F02,Power & Fuel,OPEX,194635.11
2023-01,F02,Transportation,OPEX,82546.33
2023-01,F02,Manpower,OPEX,173625.97
2023-01,F02,HSE & Environment,OPEX,36526.26
2023-01,F02,G&A Allocation,OPEX,95896.26
2023-01,F02,Facility Upgrade,CAPEX,4484506.39
2023-01,F02,Workover,OPEX,50037.16
2023-01,F03,Well Services,OPEX,259760.6
2023-01,F03,Facility O&M,OPEX,420291.11
2023-01,F03,Chemicals,OPEX,182751.33
2023-01,F03,Power & Fuel,OPEX,614924.61
2023-01,F03,Transportation,OPEX,218691.16
2023-01,F03,Manpower,OPEX,669350.82
2023-01,F03,HSE & Environment,OPEX,110782.82
2023-01,F03,G&A Allocation,OPEX,340166.7
2023-01,F03,Workover,OPEX,191566.33
2023-01,F04,Well Services,OPEX,222745.56
2023-01,F04,Facility O&M,OPEX,327124.43
2023-01,F04,Chemicals,OPEX,198225.25
2023-01,F04,Power & Fuel,OPEX,497969.17
2023-01,F04,Transportation,OPEX,265089.6
2023-01,F04,Manpower,OPEX,557884.78
2023-01,F04,HSE & Environment,OPEX,120094.67
2023-01,F04,G&A Allocation,OPEX,241847.27
2023-01,F04,Workover,OPEX,170043.16
2023-02,F01,Well Services,OPEX,83103.91
2023-02,F01,Facility O&M,OPEX,121213.7
2023-02,F01,Chemicals,OPEX,71546.02
2023-02,F01,Power & Fuel,OPEX,173175.57
2023-02,F01,Transportation,OPEX,84928.51
2023-02,F01,Manpower,OPEX,187980.64
2023-02,F01,HSE & Environment,OPEX,46416.25
2023-02,F01,G&A Allocation,OPEX,83604.78
2023-02,F01,Workover,OPEX,52879.6
2023-02,F02,Well Services,OPEX,96535.35
2023-02,F02,Facility O&M,OPEX,103354.79
2023-02,F02,Chemicals,OPEX,61585.2
2023-02,F02,Power & Fuel,OPEX,116554.36
2023-02,F02,Transportation,OPEX,84561.31
2023-02,F02,Manpower,OPEX,148667.33
2023-02,F02,HSE & Environment,OPEX,36323.03
2023-02,F02,G&A Allocation,OPEX,69252.38
2023-02,F02,Workover,OPEX,41267.66
2023-02,F03,Well Services,OPEX,227022.89
2023-02,F03,Facility O&M,OPEX,258994.05
2023-02,F03,Chemicals,OPEX,154551.81
2023-02,F03,Power & Fuel,OPEX,461178.74
2023-02,F03,Transportation,OPEX,209696.89
2023-02,F03,Manpower,OPEX,486567.77
2023-02,F03,HSE & Environment,OPEX,109627.74
2023-02,F03,G&A Allocation,OPEX,263737.82
2023-02,F03,Drilling,CAPEX,350409.77
2023-02,F03,Facility Upgrade,CAPEX,4347303.07
2023-02,F03,Workover,OPEX,115795.26
2023-02,F04,Well Services,OPEX,234937.23
2023-02,F04,Facility O&M,OPEX,344583.6
2023-02,F04,Chemicals,OPEX,155801.48
2023-02,F04,Power & Fuel,OPEX,357410.63
2023-02,F04,Transportation,OPEX,231391.07
2023-02,F04,Manpower,OPEX,390588.64
2023-02,F04,HSE & Environment,OPEX,118700.57
2023-02,F04,G&A Allocation,OPEX,255566.24
2023-02,F04,Workover,OPEX,164080.87
2023-03,F01,Well Services,OPEX,116020.35
2023-03,F01,Facility O&M,OPEX,100200.65
2023-03,F01,Chemicals,OPEX,64000.15
2023-03,F01,Power & Fuel,OPEX,165944.73
2023-03,F01,Transportation,OPEX,63545.61
2023-03,F01,Manpower,OPEX,212303.02
2023-03,F01,HSE & Environment,OPEX,47561.57
2023-03,F01,G&A Allocation,OPEX,86269.02
2023-03,F01,Workover,OPEX,53244.47
2023-03,F02,Well Services,OPEX,88657.38
2023-03,F02,Facility O&M,OPEX,123119.29
2023-03,F02,Chemicals,OPEX,66199.94
2023-03,F02,Power & Fuel,OPEX,146113.94
2023-03,F02,Transportation,OPEX,74674.54
2023-03,F02,Manpower,OPEX,147185.96
2023-03,F02,HSE & Environment,OPEX,45516.86
2023-03,F02,G&A Allocation,OPEX,105217.57
2023-03,F02,Workover,OPEX,63294.83
2023-03,F03,Well Services,OPEX,297170.62
2023-03,F03,Facility O&M,OPEX,342982.46
2023-03,F03,Chemicals,OPEX,203946.06
