sumur_id,tanggal_mulai,durasi_hari,penyebab,kategori
CDN-001,2024-10-25,2,Sand Production,Tidak Terencana
CDN-001,2024-02-17,1,Pump Failure,Tidak Terencana
CDN-001,2023-11-05,1,Pump Failure,Tidak Terencana
CDN-001,2023-10-28,4,Sand Production,Tidak Terencana
CDN-001,2023-04-19,9,Pump Failure,Tidak Terencana
CDN-001,2026-02-28,9,Power Outage,Tidak Terencana
CDN-001,2025-02-20,1,Flowline Leak,Tidak Terencana
CDN-001,2026-01-07,1,Sand Production,Tidak Terencana
CDN-001,2023-03-06,6,Sand Production,Tidak Terencana
CDN-003,2025-04-24,1,Weather,Tidak Terencana
CDN-003,2024-09-25,1,Pump Failure,Tidak Terencana
CDN-003,2024-01-26,1,Sand Production,Tidak Terencana
CDN-003,2025-07-11,2,Power Outage,Tidak Terencana
CDN-003,2025-09-19,2,Sand Production,Tidak Terencana
CDN-004,2024-09-20,2,Weather,Tidak Terencana
CDN-004,2025-05-29,2,Sand Production,Tidak Terencana
CDN-004,2023-07-05,1,Power Outage,Tidak Terencana
CDN-004,2025-09-04,1,Pump Failure,Tidak Terencana
CDN-004,2026-03-12,1,Pump Failure,Tidak Terencana
CDN-004,2023-10-02,1,Flowline Leak,Tidak Terencana
CDN-004,2024-02-22,2,Pump Failure,Tidak Terencana
CDN-005,2026-03-06,2,Weather,Tidak Terencana
CDN-005,2023-02-21,1,Pump Failure,Tidak Terencana
CDN-005,2026-06-12,1,Flowline Leak,Tidak Terencana
CDN-005,2024-07-06,1,Power Outage,Tidak Terencana
CDN-005,2025-12-28,2,Power Outage,Tidak Terencana
CDN-005,2026-01-22,2,Pump Failure,Tidak Terencana
CDN-005,2024-12-17,1,Pump Failure,Tidak Terencana
CDN-005,2023-07-29,2,Pump Failure,Tidak Terencana
CDN-006,2026-02-09,2,Pump Failure,Tidak Terencana
CDN-006,2025-09-23,9,Sand Production,Tidak Terencana
CDN-006,2025-06-16,1,Pump Failure,Tidak Terencana
CDN-006,2025-04-09,2,Pump Failure,Tidak Terencana
CDN-006,2025-02-18,1,Facility Shutdown,Terencana
CDN-006,2026-01-11,2,Weather,Tidak Terencana
CDN-007,2024-01-24,2,Weather,Tidak Terencana
CDN-007,2026-02-27,1,Pump Failure,Tidak Terencana
CDN-007,2023-10-30,1,Sand Production,Tidak Terencana
CDN-007,2024-02-14,1,Facility Shutdown,Terencana
