periode,icp_usd_bbl,realisasi_usd_bbl,harga_gas_usd_mmbtu
2023-01,76.3,75.79,9.57
2023-02,71.47,70.1,8.02
2023-03,73.33,71.73,8.69
2023-04,70.68,68.91,7.64
2023-05,71.22,69.85,8.2
2023-06,66.28,64.71,7.6
2023-07,61.52,60.59,7.07
2023-08,67.14,66.4,8.16
2023-09,57.36,56.86,6.69
2023-10,62.86,62.09,7.85
2023-11,67.92,66.29,8.62
2023-12,66.57,64.3,8.6
2024-01,68.33,67.14,8.02
2024-02,67.65,66.64,8.75
2024-03,69.42,67.26,9.09
2024-04,70.19,68.33,8.1
2024-05,64.63,63.73,7.95
2024-06,69.78,67.91,8.74
2024-07,66.32,65.99,7.39
2024-08,68.2,65.84,7.6
2024-09,68.08,67.38,8.05
2024-10,64.26,63.07,7.56
2024-11,58.16,56.82,7.43
2024-12,52.62,50.84,6.31
2025-01,56.44,55.65,6.52
2025-02,55.26,53.97,6.61
2025-03,57.16,55.45,7.1
2025-04,57.43,55.61,7.01
2025-05,58.5,56.95,6.46
2025-06,57.92,56.09,7.27
2025-07,64.41,64.02,7.52
2025-08,69.68,69.01,8.03
2025-09,68.71,66.4,8.36
2025-10,70.28,69.31,7.9
2025-11,68.26,65.88,7.29
2025-12,70.92,69.67,8.11
2026-01,69.42,68.4,7.8
2026-02,63.07,61.05,7.03
2026-03,70.05,69.18,8.23
2026-04,74.71,72.39,9.16
2026-05,69.33,68.39,8.63
2026-06,72.98,72.61,8.63
