periode,tanggal,lapangan_id,jenis_insiden,tingkat_keparahan,status_pekerja,hari_kerja_hilang
2023-01,2023-01-17,F03,Near Miss,Ringan,Karyawan,0
2023-01,2023-01-06,F01,Near Miss,Ringan,Kontraktor,0
2023-02,2023-02-27,F03,Spill,Sedang,Kontraktor,0
2023-02,2023-02-10,F01,First Aid,Berat,Karyawan,0
2023-02,2023-02-08,F01,Near Miss,Ringan,Karyawan,0
2023-03,2023-03-15,F01,Near Miss,Ringan,Kontraktor,0
2023-03,2023-03-07,F02,Near Miss,Ringan,Karyawan,0
2023-04,2023-04-15,F04,Near Miss,Sedang,Kontraktor,0
2023-04,2023-04-19,F03,Near Miss,Ringan,Kontraktor,0
2023-06,2023-06-26,F04,First Aid,Ringan,Kontraktor,0
2023-06,2023-06-17,F02,Fire,Sedang,Kontraktor,0
2023-07,2023-07-20,F03,First Aid,Ringan,Kontraktor,0
2023-08,2023-08-09,F02,Near Miss,Sedang,Karyawan,0
2023-08,2023-08-05,F03,First Aid,Ringan,Kontraktor,0
2023-09,2023-09-19,F02,Near Miss,Ringan,Kontraktor,0
2023-10,2023-10-21,F03,Near Miss,Sedang,Kontraktor,0
2023-10,2023-10-21,F03,First Aid,Ringan,Kontraktor,0
2023-10,2023-10-12,F04,Near Miss,Ringan,Kontraktor,0
2023-11,2023-11-12,F01,Near Miss,Ringan,Kontraktor,0
2023-11,2023-11-26,F03,First Aid,Ringan,Kontraktor,0
2023-11,2023-11-21,F01,Near Miss,Ringan,Kontraktor,0
2023-11,2023-11-04,F04,First Aid,Ringan,Kontraktor,0
2023-12,2023-12-14,F03,First Aid,Sedang,Kontraktor,0
2023-12,2023-12-03,F02,Near Miss,Ringan,Karyawan,0
2023-12,2023-12-02,F02,Near Miss,Sedang,Kontraktor,0
2023-12,2023-12-03,F03,Near Miss,Ringan,Kontraktor,0
2024-01,2024-01-14,F03,Near Miss,Ringan,Kontraktor,0
2024-01,2024-01-19,F04,Near Miss,Ringan,Kontraktor,0
2024-01,2024-01-20,F03,First Aid,Sedang,Kontraktor,0
2024-02,2024-02-23,F01,Spill,Ringan,Kontraktor,0
2024-03,2024-03-05,F03,Lost Time Injury,Berat,Kontraktor,15
2024-04,2024-04-24,F03,Spill,Ringan,Kontraktor,0
2024-04,2024-04-12,F02,Medical Treatment,Berat,Kontraktor,0
2024-04,2024-04-27,F01,Medical Treatment,Sedang,Kontraktor,0
2024-05,2024-05-25,F02,Near Miss,Sedang,Kontraktor,0
2024-06,2024-06-19,F04,First Aid,Ringan,Kontraktor,0
2024-07,2024-07-21,F02,Near Miss,Ringan,Kontraktor,0
2024-07,2024-07-13,F02,First Aid,Ringan,Karyawan,0
2024-08,2024-08-12,F01,Near Miss,Ringan,Kontraktor,0
2024-08,2024-08-17,F03,Near Miss,Ringan,Karyawan,0
2024-08,2024-08-04,F02,First Aid,Ringan,Kontraktor,0
2024-08,2024-08-08,F04,Medical Treatment,Sedang,Kontraktor,0
2024-08,2024-08-11,F04,First Aid,Ringan,Kontraktor,0
2024-08,2024-08-05,F04,First Aid,Ringan,Kontraktor,0
2024-09,2024-09-07,F01,First Aid,Ringan,Kontraktor,0
2024-09,2024-09-11,F01,Medical Treatment,Sedang,Karyawan,0
2024-09,2024-09-14,F03,Near Miss,Sedang,Karyawan,0
2024-10,2024-10-22,F04,Medical Treatment,Sedang,Karyawan,0
2024-10,2024-10-14,F04,Near Miss,Sedang,Kontraktor,0
2024-11,2024-11-17,F02,First Aid,Ringan,Kontraktor,0
2024-11,2024-11-24,F02,Spill,Sedang,Kontraktor,0
2024-11,2024-11-16,F03,Medical Treatment,Ringan,Karyawan,0
2024-12,2024-12-21,F03,Fire,Ringan,Kontraktor,0
2024-12,2024-12-26,F03,Near Miss,Ringan,Kontraktor,0
2025-01,2025-01-24,F01,Near Miss,Ringan,Kontraktor,0
2025-01,2025-01-17,F04,First Aid,Sedang,Kontraktor,0
2025-02,2025-02-24,F04,Lost Time Injury,Sedang,Karyawan,3
2025-03,2025-03-23,F01,Lost Time Injury,Ringan,Kontraktor,3
