sumur_id,qi_fit,D_fit,b_fit,r2,bulan_dipakai,kumulatif_bbl,sisa_cadangan_bbl,umur_sisa_bulan,bulan_switch,lapangan_id,decline_D_tahunan,qi_oil_bopd,eur_bbl
CDN-005,70.2,0.216,1.0,0.994,30,79519.0,117989.0,148,95,F01,0.3154,260.5,197508.0
CDN-006,149.1,0.255,0.812,0.995,27,94761.0,267656.0,231,127,F01,0.2337,149.8,362417.0
CDN-010,134.2,0.35,1.0,0.973,17,172685.0,223684.0,207,116,F01,0.2799,390.2,396369.0
CDN-012,58.7,0.228,0.343,0.998,42,52967.0,32063.0,50,284,F01,0.3127,123.2,85030.0
CDN-015,223.7,0.292,0.822,0.994,27,257536.0,388772.0,275,133,F01,0.2955,329.6,646308.0
CDN-018,199.7,0.331,1.0,0.993,18,250200.0,378214.0,272,114,F01,0.2485,410.7,628414.0
CDN-020,52.4,0.17,0.426,0.997,42,51277.0,49399.0,75,187,F01,0.3084,198.9,100676.0
CDN-023,132.3,0.139,0.257,0.994,42,135578.0,241817.0,211,248,F02,0.2043,262.2,377395.0
CDN-024,221.2,0.229,1.0,0.992,30,250002.0,497850.0,314,98,F02,0.2025,306.1,747852.0
CDN-027,123.1,0.273,0.309,0.997,24,67245.0,113825.0,107,344,F02,0.2842,121.9,181070.0
CDN-029,120.6,0.173,0.547,0.995,42,118898.0,214215.0,207,148,F02,0.2714,293.1,333113.0
CDN-031,91.6,0.149,0.479,0.994,42,92984.0,165200.0,180,146,F02,0.291,272.0,258184.0
CDN-034,127.6,0.184,0.344,0.997,42,121454.0,169726.0,165,247,F02,0.2544,244.9,291180.0
CDN-035,132.1,0.179,0.382,0.996,42,127349.0,195050.0,185,218,F02,0.2185,184.8,322399.0
CDN-038,286.2,0.15,0.376,0.995,42,288941.0,613450.0,336,187,F02,0.183,367.7,902391.0
CDN-041,566.6,0.377,0.802,0.999,42,453954.0,738343.0,361,148,F03,0.4063,614.4,1192297.0
CDN-043,243.3,0.219,0.684,0.995,42,227774.0,439580.0,295,140,F03,0.3217,414.4,667354.0
CDN-044,346.6,0.15,1.0,0.995,42,354689.0,952160.0,405,71,F03,0.3109,868.4,1306849.0
CDN-045,546.1,0.315,1.0,0.996,18,694435.0,1193109.0,428,112,F03,0.4207,939.9,1887544.0
CDN-047,833.9,0.32,0.8,0.998,42,704219.0,1300069.0,442,141,F03,0.3499,911.8,2004288.0
CDN-048,927.5,0.275,0.651,0.998,42,799633.0,1473487.0,456,164,F03,0.379,1380.9,2273120.0
CDN-051,738.9,0.243,0.534,0.998,42,658567.0,1171163.0,419,189,F03,0.3478,1324.9,1829730.0
CDN-056,403.2,0.165,1.0,0.993,42,406737.0,1066500.0,421,78,F04,0.5441,1720.3,1473237.0
CDN-058,1497.2,0.508,0.596,0.997,19,630874.0,1532223.0,419,213,F04,0.5204,1518.1,2163097.0
CDN-059,1217.9,0.546,0.974,0.999,22,1506316.0,1717339.0,474,132,F04,0.5238,2086.9,3223655.0
CDN-062,944.2,0.243,1.0,0.996,24,1186553.0,2374591.0,532,101,F04,0.4161,1833.0,3561144.0
