lifting_id,tanggal,periode,pembeli,volume_bbl,harga_usd_bbl,nilai_usd,tujuan
LFT-0001,2023-01-20,2023-01,Pertamina,137509.6,75.79,10421851.14,Domestik
LFT-0002,2023-01-13,2023-01,Vitol,127888.9,75.79,9692701.7,Domestik
LFT-0003,2023-01-10,2023-01,Pertamina,135939.8,75.79,10302876.46,Ekspor
LFT-0004,2023-01-12,2023-01,Pertamina,114289.0,75.79,8661960.29,Domestik
LFT-0005,2023-02-04,2023-02,Trafigura,206580.8,70.1,14481311.63,Ekspor
LFT-0006,2023-02-17,2023-02,ExxonMobil,189000.8,70.1,13248956.8,Domestik
LFT-0007,2023-03-11,2023-03,Pertamina,269595.8,71.73,19338106.43,Domestik
LFT-0008,2023-03-16,2023-03,Pertamina,263215.1,71.73,18880419.99,Domestik
LFT-0009,2023-04-21,2023-04,Pertamina,243837.3,68.91,16802827.35,Domestik
LFT-0010,2023-04-03,2023-04,ExxonMobil,206839.9,68.91,14253339.07,Domestik
LFT-0011,2023-05-03,2023-05,PetroChina,227548.9,69.85,15894289.63,Domestik
LFT-0012,2023-05-22,2023-05,ExxonMobil,287594.2,69.85,20088454.19,Ekspor
LFT-0013,2023-06-15,2023-06,Vitol,174407.8,64.71,11285926.52,Ekspor
LFT-0014,2023-06-27,2023-06,ExxonMobil,176099.6,64.71,11395404.22,Ekspor
LFT-0015,2023-06-11,2023-06,Trafigura,190877.7,64.71,12351698.98,Domestik
LFT-0016,2023-07-08,2023-07,PetroChina,156960.7,60.59,9510249.52,Domestik
LFT-0017,2023-07-25,2023-07,PetroChina,175608.8,60.59,10640136.1,Domestik
LFT-0018,2023-07-04,2023-07,PetroChina,141832.3,60.59,8593621.3,Domestik
LFT-0019,2023-08-24,2023-08,Pertamina,185098.2,66.4,12290521.2,Ekspor
LFT-0020,2023-08-09,2023-08,Vitol,149581.8,66.4,9932228.45,Ekspor
LFT-0021,2023-08-13,2023-08,Pertamina,184557.6,66.4,12254626.25,Ekspor
LFT-0022,2023-09-25,2023-09,Pertamina,285647.3,56.86,16241903.23,Domestik
LFT-0023,2023-09-03,2023-09,Pertamina,226978.5,56.86,12905997.82,Ekspor
LFT-0024,2023-10-23,2023-10,Pertamina,129898.7,62.09,8065407.69,Domestik
LFT-0025,2023-10-19,2023-10,Trafigura,143566.8,62.09,8914064.14,Domestik
LFT-0026,2023-10-18,2023-10,PetroChina,112602.0,62.09,6991460.39,Domestik
LFT-0027,2023-10-18,2023-10,Vitol,118143.1,62.09,7335503.88,Domestik
LFT-0028,2023-11-15,2023-11,Vitol,235666.7,66.29,15622344.31,Ekspor
LFT-0029,2023-11-06,2023-11,Pertamina,265894.7,66.29,17626159.34,Domestik
LFT-0030,2023-12-10,2023-12,Trafigura,225134.2,64.3,14476128.57,Domestik
LFT-0031,2023-12-24,2023-12,Trafigura,217378.8,64.3,13977455.66,Ekspor
LFT-0032,2024-01-04,2024-01,Vitol,153465.1,67.14,10303649.0,Domestik
LFT-0033,2024-01-21,2024-01,Pertamina,190787.8,67.14,12809495.77,Domestik
LFT-0034,2024-01-22,2024-01,Trafigura,171336.6,67.14,11503541.9,Domestik
LFT-0035,2024-02-08,2024-02,Trafigura,258313.8,66.64,17214028.86,Domestik
LFT-0036,2024-02-16,2024-02,ExxonMobil,272916.2,66.64,18187137.03,Ekspor
LFT-0037,2024-03-14,2024-03,Pertamina,272605.7,67.26,18335457.91,Domestik
LFT-0038,2024-03-06,2024-03,Pertamina,240288.9,67.26,16161833.32,Domestik
LFT-0039,2024-04-10,2024-04,ExxonMobil,265695.3,68.33,18154962.01,Ekspor
LFT-0040,2024-04-15,2024-04,Trafigura,217333.8,68.33,14850417.33,Domestik
LFT-0041,2024-05-04,2024-05,Trafigura,116015.0,63.73,7393635.26,Domestik
LFT-0042,2024-05-09,2024-05,ExxonMobil,131688.9,63.73,8392534.27,Domestik
LFT-0043,2024-05-08,2024-05,Pertamina,116128.3,63.73,7400859.62,Domestik
LFT-0044,2024-05-05,2024-05,ExxonMobil,145723.8,63.73,9286980.41,Domestik
LFT-0045,2024-06-16,2024-06,Pertamina,141009.9,67.91,9575980.29,Ekspor
LFT-0046,2024-06-22,2024-06,Trafigura,124229.8,67.91,8436446.59,Domestik
LFT-0047,2024-06-19,2024-06,Trafigura,126684.6,67.91,8603149.92,Domestik
LFT-0048,2024-06-24,2024-06,Pertamina,126710.3,67.91,8604899.51,Ekspor
LFT-0049,2024-07-06,2024-07,Pertamina,129468.7,65.99,8543637.33,Ekspor
LFT-0050,2024-07-17,2024-07,Pertamina,128972.3,65.99,8510884.06,Ekspor
LFT-0051,2024-07-03,2024-07,PetroChina,156797.8,65.99,10347089.58,Domestik
LFT-0052,2024-08-03,2024-08,Pertamina,129187.3,65.84,8505689.28,Ekspor
LFT-0053,2024-08-24,2024-08,Pertamina,124845.0,65.84,8219795.14,Domestik
LFT-0054,2024-08-05,2024-08,Vitol,113278.9,65.84,7458280.28,Ekspor
LFT-0055,2024-08-16,2024-08,Pertamina,127150.1,65.84,8371561.36,Ekspor
LFT-0056,2024-09-18,2024-09,Vitol,139198.1,67.38,9379166.99,Ekspor
LFT-0057,2024-09-10,2024-09,Pertamina,170915.6,67.38,11516292.0,Ekspor
LFT-0058,2024-09-22,2024-09,Trafigura,140475.1,67.38,9465211.96,Domestik
LFT-0059,2024-10-19,2024-10,Pertamina,113950.7,63.07,7186870.84,Domestik
LFT-0060,2024-10-14,2024-10,PetroChina,124689.6,63.07,7864172.14,Domestik
LFT-0061,2024-10-20,2024-10,Pertamina,108958.5,63.07,6872015.07,Ekspor
LFT-0062,2024-10-03,2024-10,Pertamina,123214.2,63.07,7771118.64,Domestik
LFT-0063,2024-11-03,2024-11,PetroChina,141256.3,56.82,8026185.12,Ekspor
LFT-0064,2024-11-21,2024-11,Pertamina,137006.4,56.82,7784705.84,Ekspor
LFT-0065,2024-11-27,2024-11,PetroChina,127730.6,56.82,7257652.01,Domestik
LFT-0066,2024-12-09,2024-12,ExxonMobil,178764.8,50.84,9088400.25,Domestik
LFT-0067,2024-12-27,2024-12,Vitol,168426.6,50.84,8562810.28,Domestik
LFT-0068,2024-12-17,2024-12,Pertamina,164095.4,50.84,8342608.71,Ekspor
LFT-0069,2025-01-06,2025-01,PetroChina,136585.3,55.65,7600971.67,Domestik
LFT-0070,2025-01-18,2025-01,PetroChina,154372.1,55.65,8590805.48,Domestik
LFT-0071,2025-01-09,2025-01,PetroChina,124503.9,55.65,6928641.36,Ekspor
LFT-0072,2025-01-03,2025-01,PetroChina,153159.9,55.65,8523345.87,Domestik
LFT-0073,2025-02-23,2025-02,ExxonMobil,198611.7,53.97,10719071.73,Domestik
LFT-0074,2025-02-05,2025-02,Trafigura,195310.4,53.97,10540900.37,Ekspor
LFT-0075,2025-03-24,2025-03,Pertamina,248203.3,55.45,13762875.27,Domestik
LFT-0076,2025-03-12,2025-03,Pertamina,223059.0,55.45,12368621.63,Domestik
LFT-0077,2025-04-15,2025-04,Vitol,188798.1,55.61,10499061.03,Domestik
LFT-0078,2025-04-21,2025-04,ExxonMobil,160494.4,55.61,8925094.47,Domestik
LFT-0079,2025-04-27,2025-04,Trafigura,181968.0,55.61,10119240.04,Domestik
LFT-0080,2025-05-12,2025-05,Trafigura,102207.0,56.95,5820691.07,Ekspor
LFT-0081,2025-05-12,2025-05,Trafigura,111070.1,56.95,6325444.52,Ekspor
LFT-0082,2025-05-13,2025-05,ExxonMobil,108367.3,56.95,6171518.0,Domestik
LFT-0083,2025-05-08,2025-05,Vitol,116791.7,56.95,6651287.23,Ekspor
LFT-0084,2025-06-04,2025-06,Pertamina,268258.1,56.09,15046598.67,Ekspor
LFT-0085,2025-06-04,2025-06,Vitol,236579.9,56.09,13269766.54,Domestik
LFT-0086,2025-07-15,2025-07,PetroChina,140802.6,64.02,9014184.98,Domestik
LFT-0087,2025-07-05,2025-07,Pertamina,134717.1,64.02,8624590.97,Domestik
LFT-0088,2025-07-22,2025-07,Pertamina,104510.6,64.02,6690766.29,Domestik
LFT-0089,2025-07-07,2025-07,Pertamina,116095.7,64.02,7432449.1,Domestik
LFT-0090,2025-08-16,2025-08,Vitol,107921.5,69.01,7447663.78,Domestik
LFT-0091,2025-08-04,2025-08,Vitol,110589.4,69.01,7631773.48,Ekspor
LFT-0092,2025-08-03,2025-08,Pertamina,109100.8,69.01,7529046.33,Ekspor
LFT-0093,2025-08-21,2025-08,Pertamina,114692.2,69.01,7914911.68,Domestik
LFT-0094,2025-09-08,2025-09,Pertamina,162364.1,66.4,10780977.62,Domestik
LFT-0095,2025-09-03,2025-09,Trafigura,138513.7,66.4,9197309.83,Domestik
LFT-0096,2025-09-03,2025-09,Trafigura,143705.3,66.4,9542033.06,Ekspor
LFT-0097,2025-10-13,2025-10,Pertamina,94177.6,69.31,6527449.16,Ekspor
LFT-0098,2025-10-14,2025-10,Trafigura,120616.4,69.31,8359925.15,Domestik
LFT-0099,2025-10-21,2025-10,PetroChina,91442.4,69.31,6337871.21,Domestik
LFT-0100,2025-10-17,2025-10,Vitol,107899.8,69.31,7478534.57,Ekspor
LFT-0101,2025-11-07,2025-11,Pertamina,249439.2,65.88,16433055.75,Domestik
LFT-0102,2025-11-18,2025-11,Vitol,192748.1,65.88,12698242.59,Domestik
LFT-0103,2025-12-16,2025-12,Vitol,94999.0,69.67,6618578.06,Ekspor
LFT-0104,2025-12-09,2025-12,Pertamina,123992.1,69.67,8638527.99,Domestik
LFT-0105,2025-12-25,2025-12,Pertamina,110576.5,69.67,7703866.87,Ekspor
LFT-0106,2025-12-12,2025-12,Pertamina,99605.9,69.67,6939545.4,Domestik
LFT-0107,2026-01-26,2026-01,Pertamina,177696.3,68.4,12154424.56,Domestik
LFT-0108,2026-01-07,2026-01,ExxonMobil,174748.3,68.4,11952785.37,Domestik
