sumur_id,tanggal,oil_bopd,gas_mscfd,water_bwpd,watercut,berproduksi
CDN-001,2023-01-01,349.71,306.69,109.74,0.234,1
CDN-001,2023-01-02,367.99,332.65,117.14,0.2347,1
CDN-001,2023-01-03,317.26,291.16,101.95,0.2353,1
CDN-001,2023-01-04,368.86,326.26,107.81,0.236,1
CDN-001,2023-01-05,325.15,289.68,104.75,0.2366,1
CDN-001,2023-01-06,298.57,268.64,93.94,0.2373,1
CDN-001,2023-01-07,306.57,262.65,96.54,0.2379,1
CDN-001,2023-01-08,358.82,304.97,93.74,0.2386,1
CDN-001,2023-01-09,334.92,299.5,110.93,0.2392,1
CDN-001,2023-01-10,311.84,285.33,101.68,0.2399,1
CDN-001,2023-01-11,340.37,305.12,103.27,0.2406,1
CDN-001,2023-01-12,328.1,297.4,104.98,0.2412,1
CDN-001,2023-01-13,331.73,290.06,107.62,0.2419,1
CDN-001,2023-01-14,386.47,340.03,118.74,0.2425,1
CDN-001,2023-01-15,349.85,295.17,112.56,0.2432,1
CDN-001,2023-01-16,346.7,299.19,117.11,0.2438,1
CDN-001,2023-01-17,382.56,346.16,129.69,0.2445,1
CDN-001,2023-01-18,335.58,317.42,112.48,0.2451,1
CDN-001,2023-01-19,358.06,316.53,119.57,0.2458,1
CDN-001,2023-01-20,341.87,301.76,112.33,0.2464,1
CDN-001,2023-01-21,376.18,346.13,120.33,0.2471,1
CDN-001,2023-01-22,364.59,328.27,109.12,0.2478,1
CDN-001,2023-01-23,340.47,312.49,123.06,0.2484,1
CDN-001,2023-01-24,345.27,316.28,108.02,0.2491,1
CDN-001,2023-01-25,371.22,340.33,119.03,0.2497,1
CDN-001,2023-01-26,347.58,269.0,122.77,0.2504,1
CDN-001,2023-01-27,356.93,297.61,124.46,0.251,1
CDN-001,2023-01-28,338.34,312.46,127.5,0.2517,1
CDN-001,2023-01-29,319.8,270.45,106.16,0.2523,1
CDN-001,2023-01-30,319.26,273.69,99.52,0.253,1
CDN-001,2023-01-31,342.35,274.28,111.02,0.2537,1
CDN-001,2023-02-01,346.33,314.37,117.8,0.2543,1
CDN-001,2023-02-02,367.09,313.52,123.91,0.255,1
CDN-001,2023-02-03,338.12,286.23,110.18,0.2556,1
CDN-001,2023-02-04,334.62,272.0,118.34,0.2563,1
CDN-001,2023-02-05,345.15,314.01,117.87,0.2569,1
CDN-001,2023-02-06,364.3,316.78,116.86,0.2576,1
CDN-001,2023-02-07,317.63,272.74,113.71,0.2582,1
CDN-001,2023-02-08,340.97,326.46,130.67,0.2589,1
CDN-001,2023-02-09,317.97,289.93,105.09,0.2595,1
CDN-001,2023-02-10,329.29,300.46,103.05,0.2602,1
CDN-001,2023-02-11,307.18,293.25,110.3,0.2609,1
CDN-001,2023-02-12,316.24,270.29,116.41,0.2615,1
CDN-001,2023-02-13,325.63,296.65,115.3,0.2622,1
CDN-001,2023-02-14,346.58,291.59,108.26,0.2628,1
CDN-001,2023-02-15,339.24,300.98,118.01,0.2635,1
CDN-001,2023-02-16,333.28,299.19,121.23,0.2641,1
CDN-001,2023-02-17,354.11,307.1,130.6,0.2648,1
CDN-001,2023-02-18,348.99,292.16,120.32,0.2654,1
CDN-001,2023-02-19,335.88,297.32,124.22,0.2661,1
CDN-001,2023-02-20,356.3,300.9,123.78,0.2668,1
CDN-001,2023-02-21,358.08,320.32,130.26,0.2674,1
CDN-001,2023-02-22,361.9,317.64,135.85,0.2681,1
CDN-001,2023-02-23,357.93,338.68,134.26,0.2687,1
CDN-001,2023-02-24,362.24,312.64,132.05,0.2694,1
CDN-001,2023-02-25,365.73,335.06,138.81,0.27,1
CDN-001,2023-02-26,343.69,310.12,132.65,0.2707,1
CDN-001,2023-02-27,351.92,296.36,120.99,0.2713,1
CDN-001,2023-02-28,333.66,296.29,133.83,0.272,1
CDN-001,2023-03-01,344.93,336.17,125.41,0.2726,1
CDN-001,2023-03-02,324.28,274.76,122.67,0.2733,1
CDN-001,2023-03-03,335.03,296.89,116.68,0.274,1
CDN-001,2023-03-04,375.29,338.87,136.86,0.2746,1
CDN-001,2023-03-05,344.22,284.71,130.07,0.2753,1
CDN-001,2023-03-06,0.0,0.0,0.0,0.2759,0
CDN-001,2023-03-07,0.0,0.0,0.0,0.2766,0
CDN-001,2023-03-08,0.0,0.0,0.0,0.2772,0
CDN-001,2023-03-09,0.0,0.0,0.0,0.2779,0
CDN-001,2023-03-10,0.0,0.0,0.0,0.2785,0
CDN-001,2023-03-11,0.0,0.0,0.0,0.2792,0
CDN-001,2023-03-12,332.22,299.38,134.39,0.2799,1
CDN-001,2023-03-13,323.79,273.54,127.0,0.2805,1
CDN-001,2023-03-14,325.91,267.22,129.73,0.2812,1
CDN-001,2023-03-15,338.65,307.18,133.92,0.2818,1
CDN-001,2023-03-16,351.57,306.52,135.46,0.2825,1
CDN-001,2023-03-17,337.85,303.37,130.0,0.2831,1
CDN-001,2023-03-18,335.53,297.85,136.55,0.2838,1
CDN-001,2023-03-19,326.5,284.24,126.67,0.2844,1
CDN-001,2023-03-20,350.12,305.69,162.97,0.2851,1
CDN-001,2023-03-21,335.02,289.06,136.37,0.2857,1
CDN-001,2023-03-22,323.03,274.18,125.76,0.2864,1
CDN-001,2023-03-23,332.73,297.29,142.67,0.2871,1
CDN-001,2023-03-24,370.17,333.44,155.28,0.2877,1
CDN-001,2023-03-25,357.8,312.95,142.65,0.2884,1
CDN-001,2023-03-26,325.35,286.03,138.97,0.289,1
CDN-001,2023-03-27,329.22,303.78,127.22,0.2897,1
CDN-001,2023-03-28,301.46,275.06,117.76,0.2903,1
CDN-001,2023-03-29,330.07,295.66,142.8,0.291,1
CDN-001,2023-03-30,323.55,307.61,133.4,0.2916,1
CDN-001,2023-03-31,356.38,320.98,165.22,0.2923,1
CDN-001,2023-04-01,318.46,286.13,127.35,0.2929,1
CDN-001,2023-04-02,341.18,291.74,141.06,0.2936,1
CDN-001,2023-04-03,319.17,281.38,140.69,0.2943,1
CDN-001,2023-04-04,318.96,271.94,141.58,0.2949,1
CDN-001,2023-04-05,339.46,318.13,141.13,0.2956,1
CDN-001,2023-04-06,341.8,301.49,130.54,0.2962,1
CDN-001,2023-04-07,328.6,293.65,122.06,0.2969,1
CDN-001,2023-04-08,336.36,294.22,148.34,0.2975,1
CDN-001,2023-04-09,355.49,307.49,150.94,0.2982,1
CDN-001,2023-04-10,304.96,263.64,139.9,0.2988,1
CDN-001,2023-04-11,347.12,307.52,145.91,0.2995,1
CDN-001,2023-04-12,349.56,304.32,171.25,0.3002,1
CDN-001,2023-04-13,319.2,275.47,137.96,0.3008,1
CDN-001,2023-04-14,315.06,286.9,138.02,0.3015,1
CDN-001,2023-04-15,307.94,269.25,134.07,0.3021,1
CDN-001,2023-04-16,335.77,310.97,150.2,0.3028,1
CDN-001,2023-04-17,336.41,310.56,158.27,0.3034,1
CDN-001,2023-04-18,312.54,277.99,138.16,0.3041,1
CDN-001,2023-04-19,0.0,0.0,0.0,0.3047,0
CDN-001,2023-04-20,0.0,0.0,0.0,0.3054,0
CDN-001,2023-04-21,0.0,0.0,0.0,0.3061,0
CDN-001,2023-04-22,0.0,0.0,0.0,0.3067,0
CDN-001,2023-04-23,0.0,0.0,0.0,0.3074,0
CDN-001,2023-04-24,0.0,0.0,0.0,0.308,0
CDN-001,2023-04-25,0.0,0.0,0.0,0.3087,0
CDN-001,2023-04-26,0.0,0.0,0.0,0.3093,0
CDN-001,2023-04-27,0.0,0.0,0.0,0.31,0
CDN-001,2023-04-28,345.19,290.94,163.19,0.3106,1
CDN-001,2023-04-29,327.94,309.79,144.89,0.3113,1
CDN-001,2023-04-30,365.6,323.28,165.22,0.3119,1
CDN-001,2023-05-01,350.49,282.77,170.37,0.3126,1
CDN-001,2023-05-02,343.31,306.43,165.53,0.3133,1
CDN-001,2023-05-03,350.77,299.96,169.54,0.3139,1
CDN-001,2023-05-04,316.24,261.43,150.25,0.3146,1
CDN-001,2023-05-05,357.62,308.29,176.64,0.3152,1
CDN-001,2023-05-06,351.4,334.97,165.1,0.3159,1
CDN-001,2023-05-07,326.46,296.97,140.62,0.3165,1
CDN-001,2023-05-08,307.37,289.39,126.84,0.3172,1
CDN-001,2023-05-09,324.36,283.37,138.45,0.3178,1
CDN-001,2023-05-10,334.18,299.91,149.34,0.3185,1
CDN-001,2023-05-11,319.98,279.25,140.48,0.3192,1
CDN-001,2023-05-12,328.01,301.11,150.43,0.3198,1
CDN-001,2023-05-13,316.66,278.49,147.21,0.3205,1
CDN-001,2023-05-14,354.26,311.17,157.77,0.3211,1
CDN-001,2023-05-15,345.26,314.75,176.9,0.3218,1
CDN-001,2023-05-16,321.02,294.53,151.34,0.3224,1
CDN-001,2023-05-17,347.63,296.3,164.27,0.3231,1
CDN-001,2023-05-18,328.72,307.74,171.27,0.3237,1
CDN-001,2023-05-19,326.08,289.03,181.5,0.3244,1
CDN-001,2023-05-20,343.7,304.09,184.48,0.325,1
CDN-001,2023-05-21,328.71,289.4,156.81,0.3257,1
CDN-001,2023-05-22,337.39,296.37,178.6,0.3264,1
