periode,volume_bbl,icp_usd_bbl,gross_revenue_usd,opex_usd,capex_usd,depresiasi_usd,biaya_recoverable_usd,cost_recovery_usd,unrecovered_carry_usd,ftp_pemerintah_usd,ftp_kontraktor_usd,ets_pemerintah_usd,ets_kontraktor_usd,dmo_volume_bbl,dmo_loss_usd,pajak_usd,kontraktor_net_usd,government_take_usd
2023-01,507223.6,76.3,38701163.73,7511403.05,4484506.39,74741.77,7586144.82,7586144.82,0.0,4644139.65,3096093.1,19868568.24,3506217.92,21632.7,1237933.32,2360326.19,10590196.34,28110967.39
2023-02,447598.1,71.47,31989837.64,6203183.69,4697712.84,78295.21,6281478.9,6281478.9,0.0,3838780.52,2559187.01,16413832.52,2896558.68,19084.0,1022952.32,1950429.08,8763843.19,23225994.44
2023-03,490872.7,73.33,35995696.56,6637886.54,0.0,0.0,6637886.54,6637886.54,0.0,4319483.59,2879655.72,18834870.1,3323800.61,21149.1,1163148.06,2217735.64,9460459.17,26535237.39
2023-04,478889.6,70.68,33847919.05,7073878.72,0.0,0.0,7073878.72,7073878.72,0.0,4061750.29,2707833.52,17003788.04,3000668.48,20191.4,1070344.13,2040789.47,9671247.13,24176671.92
2023-05,511324.7,71.22,36416544.42,6918184.15,0.0,0.0,6918184.15,6918184.15,0.0,4369985.33,2913323.55,18882793.68,3332257.71,21923.6,1171046.49,2232795.3,9759923.62,26656620.8
2023-06,485052.2,66.28,32149259.15,6765161.86,4141753.57,69029.23,6834191.09,6834191.09,0.0,3857911.1,2571940.73,16052433.8,2832782.44,20386.0,1013385.59,1932188.53,9293340.13,22855919.03
2023-07,479731.1,61.52,29513055.43,6773992.74,4090888.42,68181.47,6842174.21,6842174.21,0.0,3541566.65,2361044.43,14253029.61,2515240.52,19815.9,914303.43,1743271.87,9060883.87,20452171.56
2023-08,536697.4,67.14,36033860.75,7193444.48,570049.18,9500.82,7202945.3,7202945.3,0.0,4324063.29,2882708.86,18380521.81,3243621.5,22811.8,1148686.94,2190163.1,9990425.61,26043435.14
2023-09,518768.7,57.36,29756570.91,7591089.23,3356099.97,55935.0,7647024.23,7647024.23,0.0,3570788.51,2380525.67,13734497.62,2423734.87,20939.1,900798.85,1717523.15,9832962.78,19923608.13
2023-10,537074.4,62.86,33760494.27,7429925.35,2436794.98,40613.25,7470538.6,7470538.6,0.0,4051259.31,2700839.54,16607178.29,2930678.52,22397.1,1055909.64,2013267.71,10032879.32,23727614.95
2023-11,520343.4,67.92,35341722.37,7384675.26,0.0,0.0,7384675.26,7384675.26,0.0,4241006.68,2827337.79,17755397.24,3133305.4,21939.9,1117620.6,2130929.94,10096767.91,25244954.46
2023-12,498698.9,66.57,33198386.44,7071546.77,0.0,0.0,7071546.77,7071546.77,0.0,3983806.37,2655870.92,16564088.02,2923074.36,20951.4,1046052.24,1994472.93,9609966.87,23588419.57
2024-01,526750.0,68.33,35992829.55,7411492.46,5344751.31,89079.19,7500571.65,7500571.65,0.0,4319139.55,2879426.36,18099638.19,3194053.8,22221.1,1138777.53,2171269.16,10264005.12,25728824.43
2024-02,508046.0,67.65,34369310.55,7170464.43,10099884.15,168331.4,7338795.83,7338795.83,0.0,4124317.27,2749544.84,17133154.71,3023497.89,21334.2,1082445.51,2063862.78,9965530.28,24403780.27
2024-03,542556.1,69.42,37664246.54,7946410.42,4610709.54,76845.16,8023255.58,8023255.58,0.0,4519709.59,3013139.72,18791920.41,3316221.25,22793.7,1186755.18,2262746.55,10903114.82,26761131.72
2024-04,511116.1,70.19,35875238.36,7926472.71,2065444.95,34424.08,7960896.79,7960896.79,0.0,4305028.6,2870019.07,17628399.81,3110894.08,21302.6,1121421.22,2138176.45,10682212.28,25193026.08
2024-05,524701.8,64.63,33911475.4,7551105.95,0.0,0.0,7551105.95,7551105.95,0.0,4069377.05,2712918.03,16641363.21,2936711.15,21853.7,1059305.47,2019742.43,10121687.23,23789788.17
2024-06,502186.8,69.78,35042592.11,7583018.19,2569977.51,42832.96,7625851.15,7625851.15,0.0,4205111.05,2803407.37,17346989.16,3061233.38,21011.2,1099620.14,2096609.07,10294262.69,24748329.42
2024-07,503644.1,66.32,33401675.39,6976227.88,4600283.0,76671.38,7052899.26,7052899.26,0.0,4008201.05,2672134.03,16718174.89,2950266.16,21194.2,1054200.04,2010008.07,9611091.35,23790584.04
2024-08,490583.0,68.2,33457757.19,7032234.88,2276313.63,37938.56,7070173.44,7070173.44,0.0,4014930.86,2676620.58,16741627.46,2954404.85,20641.6,1055817.27,2013091.59,9632290.01,23825467.18
2024-09,468618.9,68.08,31903574.71,6876010.31,0.0,0.0,6876010.31,6876010.31,0.0,3828428.97,2552285.98,15849822.04,2797027.42,19643.5,1002996.26,1912379.54,9309947.91,22593626.81
2024-10,482610.2,64.26,31012532.74,7005097.3,0.0,0.0,7005097.3,7005097.3,0.0,3721503.93,2481002.62,15134189.56,2670739.33,20042.6,965951.62,1841747.75,9349139.89,21663392.85
2024-11,471261.2,58.16,27408552.56,6719286.69,3197467.44,53291.12,6772577.81,6772577.81,0.0,3289026.31,2192684.2,12881124.6,2273139.63,19196.3,837341.97,1596532.02,8804527.66,18604024.89
2024-12,543852.9,52.62,28617538.55,7716988.74,0.0,0.0,7716988.74,7716988.74,0.0,3434104.63,2289403.08,12900485.78,2276556.31,21693.1,856117.39,1632330.48,9794500.27,18823038.28
2025-01,536733.0,56.44,30293209.39,7764805.84,0.0,0.0,7764805.84,7764805.84,0.0,3635185.13,2423456.75,13999297.42,2470464.25,21677.5,917610.19,1749576.76,9991539.9,20301669.5
2025-02,471077.0,55.26,26031715.57,6736541.61,2338739.58,38978.99,6775520.6,6775520.6,0.0,3123805.87,2082537.25,11942374.08,2107477.78,18955.9,785627.82,1497930.37,8681977.44,17349738.13
2025-03,507732.7,57.16,29022000.56,7333785.22,821641.82,13694.03,7347479.25,7347479.25,0.0,3482640.07,2321760.04,13489603.02,2380518.18,20566.3,881677.17,1681064.47,9487015.84,19534984.72
2025-04,478754.0,57.43,27494839.92,6903757.25,4107541.91,68459.03,6972216.28,6972216.28,0.0,3299380.79,2199587.19,12770107.31,2253548.35,19385.1,834962.91,1591995.96,8998392.95,18496446.97
2025-05,493227.8,58.5,28853826.88,7245676.63,0.0,0.0,7245676.63,7245676.63,0.0,3462459.23,2308306.15,13461777.15,2375607.73,20016.7,878233.85,1674499.21,9376857.45,19476969.44
2025-06,470061.2,57.92,27225941.81,6994323.74,0.0,0.0,6994323.74,6994323.74,0.0,3267113.02,2178075.34,12568465.25,2217964.46,18974.6,824257.46,1571584.23,8994521.85,18231419.96
2025-07,464836.3,64.41,29940106.73,6673507.67,0.0,0.0,6673507.67,6673507.67,0.0,3592812.81,2395208.54,14686791.05,2591786.66,19356.4,935061.6,1782850.78,8942590.48,20997516.24
2025-08,475324.5,69.68,33120609.77,6991382.03,0.0,0.0,6991382.03,6991382.03,0.0,3974473.17,2649648.78,16579339.92,2925765.87,20003.6,1045390.25,1993210.74,9528195.7,23592414.07
2025-09,440502.2,68.71,30266904.79,6492377.9,8565364.21,142756.07,6635133.97,6635133.97,0.0,3632028.57,2421352.38,14941631.38,2636758.48,18403.8,948395.79,1808274.63,8936574.41,21330330.38
2025-10,448839.5,70.28,31544437.25,6543659.97,5225410.19,87090.17,6630750.14,6630750.14,0.0,3785332.47,2523554.98,15814079.71,2790719.95,18903.9,996426.55,1899853.29,9048745.23,22495692.02
2025-11,427012.4,68.26,29147865.74,6216553.66,4635494.76,77258.25,6293811.91,6293811.91,0.0,3497743.89,2331829.26,14470808.58,2553672.1,17893.0,916031.51,1746566.74,8516715.03,20631150.72
2025-12,426969.3,70.92,30280663.47,6114994.43,0.0,0.0,6114994.43,6114994.43,0.0,3633679.62,2422453.08,15393105.89,2716430.45,18115.1,963540.66,1837150.86,8453186.44,21827477.03
2026-01,416170.1,69.42,28890528.34,6097261.1,783720.54,13062.01,6110323.11,6110323.11,0.0,3466863.4,2311242.27,14451784.63,2550314.93,17507.8,911541.98,1738006.7,8322331.64,20568196.71
2026-02,366181.0,63.07,23095032.52,5165912.81,1857291.65,30954.86,5196867.67,5196867.67,0.0,2771403.9,1847602.6,11287284.59,1991873.75,15219.1,719901.82,1372612.8,6943829.41,16151203.11
2026-03,405225.9,70.05,28386072.19,5650675.18,6311902.46,105198.37,5755873.55,5755873.55,0.0,3406328.66,2270885.78,14410036.57,2542947.63,17180.0,902593.76,1720945.44,7946167.75,20439904.44
2026-04,380059.6,74.71,28394251.22,5476766.9,2542175.83,42369.6,5519136.5,5519136.5,0.0,3407310.15,2271540.1,14616824.81,2579439.67,16232.7,909558.71,1734225.27,7726332.29,20667918.93
2026-05,401178.6,69.33,27813711.64,5705336.77,2624870.65,43747.84,5749084.61,5749084.61,0.0,3337645.4,2225096.93,14026602.0,2475282.71,16949.3,881321.18,1680385.72,7887757.35,19925954.3
2026-06,381048.0,72.98,27808885.96,5473360.29,2444199.63,40736.66,5514096.95,5514096.95,0.0,3337066.32,2224710.88,14223060.04,2509951.77,16219.0,887749.25,1692641.9,7668368.46,20140517.5
