sumur_id,lapangan_id,tipe_sumur,tanggal_onstream,qi_oil_bopd,decline_D_tahunan,arps_b,gor_scf_bbl,watercut_awal,kenaikan_watercut_harian,kedalaman_m,metode_angkat
CDN-001,F01,Producer,2022-01-22,425.3,0.2149,0.514,886,0.234,0.000655,2956,Sucker Rod
CDN-002,F01,Injector,2023-05-25,436.8,0.3198,0.432,726,0.482,0.000511,1653,Natural Flow
CDN-003,F01,Producer,2024-01-18,293.1,0.2856,0.472,790,0.208,0.000684,2205,ESP
CDN-004,F01,Producer,2016-09-22,304.2,0.3336,0.463,886,0.402,0.000221,1748,Gas Lift
CDN-005,F01,Producer,2018-01-30,260.5,0.3154,0.458,538,0.548,0.000717,2474,ESP
CDN-006,F01,Producer,2024-04-04,149.8,0.2337,0.376,461,0.508,0.000588,1166,ESP
CDN-007,F01,Producer,2016-09-24,139.1,0.2268,0.52,562,0.289,0.000618,2336,ESP
CDN-008,F01,Producer,2017-08-04,404.8,0.2639,0.478,482,0.189,0.000685,2101,ESP
CDN-009,F01,Producer,2020-06-03,172.8,0.266,0.507,522,0.408,0.000292,1937,Gas Lift
CDN-010,F01,Producer,2018-11-21,390.2,0.2799,0.492,874,0.542,0.000673,1169,Gas Lift
CDN-011,F01,Producer,2018-12-14,123.0,0.3606,0.388,483,0.342,0.000268,1992,Gas Lift
CDN-012,F01,Producer,2020-04-18,123.2,0.3127,0.397,567,0.322,0.000632,1528,Gas Lift
CDN-013,F01,Producer,2024-10-07,258.6,0.2722,0.418,681,0.225,0.00033,3017,ESP
CDN-014,F01,Producer,2024-12-22,122.4,0.2207,0.466,495,0.297,0.000587,3135,Natural Flow
CDN-015,F01,Producer,2022-08-06,329.6,0.2955,0.519,525,0.506,0.000249,1272,Natural Flow
CDN-016,F01,Injector,2018-03-04,205.6,0.3188,0.488,548,0.502,0.000357,1252,ESP
CDN-017,F01,Producer,2022-11-12,219.6,0.3405,0.516,540,0.306,0.0007,2433,ESP
CDN-018,F01,Producer,2020-10-20,410.7,0.2485,0.363,637,0.287,0.000522,1720,ESP
CDN-019,F01,Producer,2019-02-15,234.8,0.3122,0.475,894,0.315,0.000307,2540,Natural Flow
CDN-020,F01,Producer,2017-03-08,198.9,0.3084,0.439,843,0.548,0.000721,1209,ESP
CDN-021,F01,Producer,2020-09-29,430.7,0.27,0.513,737,0.453,0.000436,1356,ESP
CDN-022,F01,Producer,2023-05-05,326.3,0.2476,0.428,776,0.271,0.000259,3118,ESP
CDN-023,F02,Producer,2019-01-27,262.2,0.2043,0.499,411,0.114,0.000529,2085,ESP
CDN-024,F02,Producer,2021-11-12,306.1,0.2025,0.534,513,0.117,0.00035,1260,ESP
CDN-025,F02,Producer,2021-03-17,334.2,0.1944,0.457,558,0.325,0.000683,1120,Sucker Rod
CDN-026,F02,Producer,2020-11-05,232.8,0.2677,0.583,736,0.198,0.000536,2428,ESP
CDN-027,F02,Producer,2024-07-29,121.9,0.2842,0.558,639,0.116,0.000434,1625,ESP
CDN-028,F02,Producer,2024-03-06,304.8,0.2795,0.529,705,0.158,0.000302,3014,ESP
CDN-029,F02,Producer,2018-11-12,293.1,0.2714,0.524,514,0.393,0.000376,3184,Sucker Rod
CDN-030,F02,Producer,2018-08-09,357.9,0.2152,0.582,692,0.106,0.000699,3037,Gas Lift
CDN-031,F02,Producer,2017-11-08,272.0,0.291,0.58,552,0.258,0.000648,1327,ESP
CDN-032,F02,Producer,2015-12-19,227.1,0.2094,0.541,657,0.193,0.000508,1698,ESP
CDN-033,F02,Producer,2019-12-06,218.4,0.2693,0.638,624,0.139,0.000492,1227,Natural Flow
CDN-034,F02,Producer,2020-01-30,244.9,0.2544,0.444,641,0.14,0.000302,1522,Gas Lift
CDN-035,F02,Producer,2021-05-17,184.8,0.2185,0.495,552,0.196,0.00029,2844,Natural Flow
CDN-036,F02,Producer,2020-07-28,192.8,0.1989,0.496,593,0.359,0.000528,1948,ESP
CDN-037,F02,Producer,2020-02-06,131.3,0.1838,0.465,686,0.223,0.000714,1145,ESP
CDN-038,F02,Producer,2021-08-10,367.7,0.183,0.582,493,0.326,0.000327,1665,Gas Lift
CDN-039,F02,Injector,2018-06-08,110.9,0.1816,0.483,569,0.395,0.000201,1756,Sucker Rod
CDN-040,F02,Producer,2024-01-14,175.8,0.2186,0.659,502,0.133,0.000293,2798,Sucker Rod
CDN-041,F03,Producer,2022-10-28,614.4,0.4063,0.83,1914,0.05,0.000288,3138,Sucker Rod
CDN-042,F03,Injector,2024-05-16,450.1,0.3607,0.606,1317,0.059,0.000659,1493,Gas Lift
CDN-043,F03,Producer,2020-12-29,414.4,0.3217,0.726,1069,0.047,0.000632,1247,Gas Lift
CDN-044,F03,Producer,2018-07-23,868.4,0.3109,0.838,1635,0.095,0.000274,1732,Sucker Rod
CDN-045,F03,Producer,2023-04-12,939.9,0.4207,0.755,2011,0.045,0.000287,2033,ESP
CDN-046,F03,Producer,2018-08-27,529.1,0.2842,0.685,1289,0.024,0.000536,2166,ESP
CDN-047,F03,Producer,2022-10-13,911.8,0.3499,0.839,1337,0.123,0.000738,2646,ESP
CDN-048,F03,Producer,2021-11-01,1380.9,0.379,0.734,1092,0.131,0.000476,2155,Sucker Rod
CDN-049,F03,Producer,2022-03-25,1273.3,0.3839,0.825,1714,0.143,0.000379,1410,Gas Lift
CDN-050,F03,Producer,2021-11-17,629.0,0.2642,0.642,1425,0.113,0.000208,2046,Natural Flow
CDN-051,F03,Producer,2021-01-18,1324.9,0.3478,0.572,1690,0.046,0.00054,1858,Natural Flow
CDN-052,F03,Producer,2022-01-28,897.6,0.4267,0.606,1913,0.037,0.000556,2120,Sucker Rod
CDN-053,F03,Producer,2020-07-03,487.7,0.307,0.715,1240,0.053,0.000227,2339,Gas Lift
CDN-054,F03,Producer,2020-09-05,434.9,0.3425,0.697,1886,0.094,0.000257,1929,Natural Flow
CDN-055,F04,Injector,2024-06-26,833.4,0.517,0.847,1442,0.024,0.000274,1787,Gas Lift
CDN-056,F04,Producer,2017-10-20,1720.3,0.5441,0.844,1709,0.033,0.000515,1314,ESP
CDN-057,F04,Producer,2023-08-15,1838.2,0.3927,0.879,2045,0.032,0.000661,1745,ESP
CDN-058,F04,Producer,2024-12-01,1518.1,0.5204,0.689,2834,0.02,0.000463,2446,Sucker Rod
CDN-059,F04,Producer,2022-07-15,2086.9,0.5238,0.712,2482,0.03,0.000547,1285,Sucker Rod
CDN-060,F04,Producer,2019-02-02,1457.6,0.5041,0.991,2363,0.053,0.000596,1992,Natural Flow
CDN-061,F04,Producer,2017-11-16,1759.4,0.4465,0.855,2409,0.03,0.000193,1410,ESP
CDN-062,F04,Producer,2022-02-26,1833.0,0.4161,0.968,2802,0.025,0.000686,3074,ESP
CDN-063,F04,Producer,2020-10-09,1750.8,0.3499,0.774,2841,0.067,0.000614,1985,ESP
CDN-064,F04,Producer,2022-06-10,913.9,0.454,1.003,3474,0.016,0.000316,1625,Gas Lift
