workover_id,sumur_id,tanggal_mulai,jenis_pekerjaan,durasi_hari,biaya_usd,faktor_kenaikan
WO-0001,CDN-001,2025-02-06,ESP Replacement,9,639964,1.498
WO-0002,CDN-003,2026-02-26,ESP Replacement,12,1038762,1.451
WO-0003,CDN-003,2026-01-19,Reperforation,10,1287675,1.347
WO-0004,CDN-003,2024-08-05,Acidizing,14,1290694,1.523
WO-0005,CDN-004,2024-08-12,Acidizing,13,437509,1.24
WO-0006,CDN-004,2025-09-15,Acidizing,11,875701,1.184
WO-0007,CDN-004,2024-10-02,Reperforation,8,180243,1.476
WO-0008,CDN-004,2024-08-28,Acidizing,9,867238,1.328
WO-0009,CDN-005,2023-04-17,Reperforation,12,391359,1.221
WO-0010,CDN-007,2024-11-11,Acidizing,4,619970,1.496
WO-0011,CDN-007,2025-05-21,Scale Removal,11,1370551,1.377
WO-0012,CDN-008,2023-07-23,Scale Removal,5,830711,1.141
WO-0013,CDN-008,2026-01-02,Scale Removal,10,435839,1.466
WO-0014,CDN-008,2023-07-04,Scale Removal,10,489083,1.337
WO-0015,CDN-009,2025-11-29,Reperforation,4,1367163,1.156
WO-0016,CDN-009,2024-08-29,Reperforation,11,1307852,1.352
WO-0017,CDN-009,2023-08-28,Acidizing,11,780516,1.415
WO-0018,CDN-010,2024-04-26,ESP Replacement,12,1233034,1.469
WO-0019,CDN-010,2024-05-15,Acidizing,3,988594,1.523
WO-0020,CDN-011,2026-02-09,Scale Removal,12,1278943,1.528
WO-0021,CDN-011,2025-02-28,Reperforation,10,1364482,1.147
WO-0022,CDN-013,2025-04-29,Zone Change,4,317444,1.263
WO-0023,CDN-013,2025-02-20,Scale Removal,3,826193,1.481
WO-0024,CDN-014,2026-03-23,Acidizing,6,265066,1.169
WO-0025,CDN-015,2023-07-25,ESP Replacement,7,751935,1.154
WO-0026,CDN-017,2025-07-10,Scale Removal,6,737150,1.154
WO-0027,CDN-017,2025-01-02,Zone Change,8,857414,1.43
