bulan;kode_gerai;gerai;omzet;transaksi
2026-01;G01;Tebet;271.000.000;2443
2026-02;G01;Tebet;286.000.000;2175
2026-03;G01;Tebet;311.000.000;2289
2026-04;G01;Tebet;322.000.000;3118
2026-05;G01;Tebet;274.000.000;2740
2026-06;G01;Tebet;180.000.000;1341
2026-01;G02;Bintaro;354.000.000;1860
2026-02;G02;Bintaro;294.000.000;2640
2026-03;G02;Bintaro;397.000.000;1910
2026-04;G02;Bintaro;376.000.000;1880
2026-05;G02;Bintaro;273.000.000;3395
2026-06;G02;Bintaro;381.000.000;1696
2026-01;G03;Cibubur;377.000.000;2144
2026-02;G03;Cibubur;229.000.000;1789
2026-03;G03;Cibubur;393.000.000;2007
2026-04;G03;Cibubur;281.000.000;2446
2026-05;G03;Cibubur;399.000.000;3340
2026-06;G03;Cibubur;311.000.000;3369
2026-01;G04;Bekasi;223.000.000;2523
2026-02;G04;Bekasi;248.000.000;1685
2026-05;G04;Bekasi;415.000.000;1209
2026-06;G04;Bekasi;341.000.000;3189
2026-01;G05;Depok;237.000.000;1787
2026-02;G05;Depok;406.000.000;1867
2026-03;G05;Depok;227.000.000;3324
2026-04;G05;Depok;203.000.000;3355
2026-05;G05;Depok;360.000.000;2061
2026-06;G05;Depok;404.000.000;2914
